func,iter,xcen,ycen,depth,dP_mu
9.531559e+00,11,4.2630890e+05,4.5187572e+06,2.6749365e+03,3.3108920e-03
9.531612e+00,10,4.2630321e+05,4.5187625e+06,2.7452996e+03,3.5372351e-03
9.531812e+00,11,4.2632677e+05,4.5187910e+06,2.6136006e+03,3.2398087e-03
9.531980e+00,11,4.2632671e+05,4.5187601e+06,2.6705279e+03,3.4097685e-03
9.532114e+00,11,4.2630312e+05,4.5187536e+06,2.7255297e+03,3.5141345e-03
9.533823e+00,11,4.2629418e+05,4.5187902e+06,2.6604933e+03,3.2928684e-03
9.535010e+00,11,4.2633498e+05,4.5187899e+06,2.6747691e+03,3.3986733e-03
9.535217e+00,11,4.2628162e+05,4.5187347e+06,2.7045968e+03,3.4320559e-03
9.535730e+00,11,4.2631756e+05,4.5187829e+06,2.7307518e+03,3.4884264e-03
9.535936e+00,11,4.2627606e+05,4.5187540e+06,2.7389432e+03,3.4983954e-03
9.537101e+00,10,4.2630759e+05,4.5187682e+06,2.6066795e+03,3.2556435e-03
9.537678e+00,9,4.2628121e+05,4.5187653e+06,2.6301295e+03,3.2518784e-03
9.539153e+00,10,4.2627696e+05,4.5187794e+06,2.6587050e+03,3.2935699e-03
9.539776e+00,10,4.2630511e+05,4.5187921e+06,2.6793219e+03,3.3306139e-03
9.539796e+00,11,4.2631440e+05,4.5187890e+06,2.7011768e+03,3.3806620e-03
9.539884e+00,11,4.2626808e+05,4.5187794e+06,2.6759520e+03,3.3733764e-03
9.540542e+00,11,4.2628761e+05,4.5187712e+06,2.6828317e+03,3.4346850e-03
9.541423e+00,10,4.2634248e+05,4.5187643e+06,2.6709227e+03,3.3892428e-03
9.542137e+00,11,4.2632308e+05,4.5187491e+06,2.6878145e+03,3.4406224e-03
9.543662e+00,10,4.2630676e+05,4.5187596e+06,2.6330573e+03,3.3298779e-03
9.544433e+00,10,4.2627740e+05,4.5187768e+06,2.7267806e+03,3.4578623e-03
9.545355e+00,10,4.2633368e+05,4.5187448e+06,2.6709413e+03,3.3629350e-03
9.546371e+00,10,4.2632017e+05,4.5187482e+06,2.7276701e+03,3.4285767e-03
9.546384e+00,11,4.2632234e+05,4.5187529e+06,2.7339799e+03,3.4448481e-03
9.546758e+00,10,4.2631631e+05,4.5187687e+06,2.7001465e+03,3.3589821e-03
9.547494e+00,11,4.2627245e+05,4.5187730e+06,2.6832742e+03,3.3392349e-03
9.547655e+00,10,4.2629840e+05,4.5187310e+06,2.7377389e+03,3.5046065e-03
9.547802e+00,11,4.2627889e+05,4.5187917e+06,2.6919555e+03,3.3859646e-03
9.548167e+00,10,4.2631722e+05,4.5187597e+06,2.7240168e+03,3.4125489e-03
9.549362e+00,11,4.2631904e+05,4.5187570e+06,2.6918072e+03,3.4594561e-03
9.549500e+00,11,4.2628048e+05,4.5187591e+06,2.7461456e+03,3.4776498e-03
9.550290e+00,11,4.2628620e+05,4.5187976e+06,2.6889103e+03,3.3862370e-03
9.550297e+00,11,4.2633247e+05,4.5187743e+06,2.6347256e+03,3.2581917e-03
9.550757e+00,11,4.2627349e+05,4.5187707e+06,2.6548851e+03,3.3589886e-03
9.551338e+00,11,4.2631348e+05,4.5187303e+06,2.7267414e+03,3.4829283e-03
9.551634e+00,11,4.2627627e+05,4.5187597e+06,2.6728280e+03,3.3122347e-03
9.552541e+00,11,4.2630181e+05,4.5187695e+06,2.6124266e+03,3.2825249e-03
9.552615e+00,11,4.2628475e+05,4.5187739e+06,2.6962137e+03,3.4572055e-03
9.553163e+00,11,4.2630171e+05,4.5188023e+06,2.6083830e+03,3.2467670e-03
9.554113e+00,11,4.2633489e+05,4.5187557e+06,2.6739682e+03,3.4089070e-03
9.554351e+00,11,4.2630221e+05,4.5187592e+06,2.7362642e+03,3.4342773e-03
9.554704e+00,11,4.2633471e+05,4.5187802e+06,2.7020945e+03,3.3913793e-03
9.555041e+00,11,4.2631006e+05,4.5187590e+06,2.7639746e+03,3.5332932e-03
9.557040e+00,11,4.2630678e+05,4.5187929e+06,2.7192432e+03,3.4685468e-03
9.558167e+00,11,4.2628845e+05,4.5187563e+06,2.6185050e+03,3.2538393e-03
9.558273e+00,11,4.2629820e+05,4.5187562e+06,2.7250741e+03,3.5187810e-03
9.559094e+00,11,4.2628885e+05,4.5187335e+06,2.6839713e+03,3.4056109e-03
9.561324e+00,11,4.2633325e+05,4.5187448e+06,2.6952872e+03,3.4408864e-03
9.561935e+00,11,4.2627807e+05,4.5187482e+06,2.7259517e+03,3.4990597e-03
9.562149e+00,11,4.2634543e+05,4.5187558e+06,2.6839378e+03,3.3966041e-03
9.562276e+00,11,4.2633938e+05,4.5187494e+06,2.6879551e+03,3.3747472e-03
9.562871e+00,11,4.2628510e+05,4.5187815e+06,2.7351128e+03,3.4746473e-03
9.563330e+00,11,4.2629642e+05,4.5187973e+06,2.7087137e+03,3.4265787e-03
9.563460e+00,11,4.2628864e+05,4.5187685e+06,2.7548218e+03,3.5306049e-03
9.563529e+00,10,4.2626646e+05,4.5187442e+06,2.7118542e+03,3.4224231e-03
9.563744e+00,11,4.2631885e+05,4.5188010e+06,2.6966533e+03,3.4115864e-03
9.563752e+00,11,4.2627944e+05,4.5187400e+06,2.6601980e+03,3.3236830e-03
9.563776e+00,10,4.2630379e+05,4.5187498e+06,2.7141595e+03,3.5009929e-03
9.564448e+00,11,4.2627758e+05,4.5187323e+06,2.7125746e+03,3.4191895e-03
9.564832e+00,11,4.2627849e+05,4.5187782e+06,2.6689484e+03,3.3995006e-03
9.564994e+00,11,4.2630396e+05,4.5188099e+06,2.6460449e+03,3.3155116e-03
9.565019e+00,11,4.2633134e+05,4.5187366e+06,2.7103853e+03,3.4466604e-03
9.565129e+00,11,4.2628538e+05,4.5187609e+06,2.6895401e+03,3.3315757e-03
9.566046e+00,11,4.2629988e+05,4.5187976e+06,2.6681218e+03,3.3093310e-03
9.566148e+00,11,4.2631300e+05,4.5187355e+06,2.7310439e+03,3.5123422e-03
9.566156e+00,11,4.2628795e+05,4.5187428e+06,2.7389619e+03,3.5276418e-03
9.567229e+00,9,4.2630546e+05,4.5187879e+06,2.7348692e+03,3.4874700e-03
9.567486e+00,11,4.2629614e+05,4.5187303e+06,2.7470168e+03,3.5220037e-03
9.567865e+00,11,4.2633302e+05,4.5187396e+06,2.7267559e+03,3.4686449e-03
9.568375e+00,11,4.2632855e+05,4.5187790e+06,2.6628260e+03,3.2936295e-03
9.568564e+00,11,4.2632949e+05,4.5187639e+06,2.6926625e+03,3.3504990e-03
9.568566e+00,11,4.2633373e+05,4.5187728e+06,2.6287074e+03,3.3210628e-03
9.568857e+00,11,4.2627145e+05,4.5187551e+06,2.6423826e+03,3.2873016e-03
9.568876e+00,11,4.2634743e+05,4.5187755e+06,2.6834495e+03,3.4094930e-03
9.569379e+00,11,4.2629272e+05,4.5187972e+06,2.7017059e+03,3.3960405e-03
9.569669e+00,11,4.2626264e+05,4.5187573e+06,2.6682809e+03,3.3506954e-03
9.570564e+00,11,4.2630634e+05,4.5188048e+06,2.6686969e+03,3.3268105e-03
9.570637e+00,11,4.2629763e+05,4.5187971e+06,2.6845651e+03,3.4256788e-03
9.571551e+00,11,4.2631136e+05,4.5187774e+06,2.6890960e+03,3.3315834e-03
9.571639e+00,11,4.2629176e+05,4.5187387e+06,2.7164514e+03,3.4914697e-03
9.572199e+00,11,4.2627850e+05,4.5187517e+06,2.7493140e+03,3.5318868e-03
9.572236e+00,11,4.2630904e+05,4.5187415e+06,2.6689382e+03,3.3091164e-03
9.572491e+00,10,4.2630515e+05,4.5187573e+06,2.7147795e+03,3.3799730e-03
9.572600e+00,10,4.2627053e+05,4.5187633e+06,2.6932731e+03,3.4386078e-03
9.573580e+00,11,4.2627070e+05,4.5187834e+06,2.6896497e+03,3.3610246e-03
9.574679e+00,11,4.2632536e+05,4.5187555e+06,2.6262730e+03,3.2527879e-03
9.575174e+00,11,4.2628144e+05,4.5187344e+06,2.6896732e+03,3.4182524e-03
9.575641e+00,11,4.2634008e+05,4.5187521e+06,2.7299290e+03,3.4772446e-03
9.575687e+00,11,4.2631941e+05,4.5187862e+06,2.7150094e+03,3.4058758e-03
9.576653e+00,11,4.2631172e+05,4.5187838e+06,2.5866995e+03,3.2013526e-03
9.576766e+00,11,4.2629069e+05,4.5187426e+06,2.6916653e+03,3.3417977e-03
9.577159e+00,11,4.2626751e+05,4.5187422e+06,2.7265110e+03,3.4482949e-03
9.577160e+00,11,4.2630837e+05,4.5187383e+06,2.7677025e+03,3.5487022e-03
9.577170e+00,11,4.2627736e+05,4.5187950e+06,2.6697788e+03,3.3268069e-03
9.578242e+00,11,4.2628085e+05,4.5187537e+06,2.7626067e+03,3.5333570e-03
9.578663e+00,9,4.2632807e+05,4.5187525e+06,2.6824669e+03,3.4380743e-03
9.579785e+00,11,4.2631347e+05,4.5187420e+06,2.7220733e+03,3.5108646e-03
9.580163e+00,11,4.2628059e+05,4.5187863e+06,2.6733219e+03,3.3116933e-03
9.580238e+00,10,4.2631139e+05,4.5187817e+06,2.6876298e+03,3.4573792e-03
9.580360e+00,11,4.2632085e+05,4.5187777e+06,2.5918464e+03,3.2208595e-03
9.580641e+00,11,4.2632739e+05,4.5187349e+06,2.7378151e+03,3.4999916e-03
9.580677e+00,10,4.2627415e+05,4.5187397e+06,2.6784825e+03,3.3402608e-03
9.581010e+00,11,4.2631743e+05,4.5187538e+06,2.6885492e+03,3.4581490e-03
9.581808e+00,11,4.2631097e+05,4.5187906e+06,2.5857961e+03,3.1972409e-03
9.582181e+00,11,4.2634250e+05,4.5187475e+06,2.6790799e+03,3.3896324e-03
9.582245e+00,11,4.2628080e+05,4.5187686e+06,2.6081736e+03,3.2427350e-03
9.582836e+00,9,4.2628674e+05,4.5187743e+06,2.7394060e+03,3.4519793e-03
9.582951e+00,11,4.2628793e+05,4.5188019e+06,2.6865292e+03,3.3727589e-03
9.583854e+00,11,4.2632183e+05,4.5188051e+06,2.6683376e+03,3.3869055e-03
9.584030e+00,11,4.2630716e+05,4.5187381e+06,2.7699732e+03,3.5549224e-03
9.584335e+00,11,4.2627097e+05,4.5187629e+06,2.7450648e+03,3.4915939e-03
9.584465e+00,11,4.2633279e+05,4.5187410e+06,2.7123468e+03,3.4744782e-03
9.584610e+00,10,4.2633671e+05,4.5187481e+06,2.6722034e+03,3.3986076e-03
9.585922e+00,11,4.2630157e+05,4.5187407e+06,2.7412208e+03,3.5422047e-03
9.586388e+00,10,4.2629370e+05,4.5187305e+06,2.7613731e+03,3.5292892e-03
9.586557e+00,11,4.2633212e+05,4.5187542e+06,2.7260248e+03,3.5135124e-03
9.586667e+00,11,4.2632308e+05,4.5187324e+06,2.7459939e+03,3.5072283e-03
9.587285e+00,11,4.2631428e+05,4.5187519e+06,2.7692471e+03,3.5689734e-03
9.587516e+00,11,4.2629166e+05,4.5187828e+06,2.6082653e+03,3.1992119e-03
9.587677e+00,11,4.2629312e+05,4.5187424e+06,2.7310679e+03,3.5253412e-03
9.588479e+00,11,4.2629166e+05,4.5187518e+06,2.7705849e+03,3.5307319e-03
9.588739e+00,11,4.2629053e+05,4.5187719e+06,2.6045284e+03,3.2613803e-03
9.590324e+00,11,4.2628195e+05,4.5187734e+06,2.6048996e+03,3.2119691e-03
9.591225e+00,11,4.2631537e+05,4.5187630e+06,2.7002227e+03,3.4861460e-03
9.592436e+00,11,4.2632761e+05,4.5187713e+06,2.6199895e+03,3.2236470e-03
9.592640e+00,11,4.2632539e+05,4.5188041e+06,2.6784810e+03,3.3557552e-03
9.592836e+00,11,4.2630603e+05,4.5188008e+06,2.6978683e+03,3.3811242e-03
9.592877e+00,11,4.2627549e+05,4.5187873e+06,2.6596825e+03,3.2898837e-03
9.592949e+00,11,4.2630692e+05,4.5187975e+06,2.5872644e+03,3.2103446e-03
9.593573e+00,11,4.2631256e+05,4.5187469e+06,2.7514941e+03,3.4701929e-03
9.594903e+00,11,4.2628225e+05,4.5187413e+06,2.7642683e+03,3.5505414e-03
9.594942e+00,11,4.2628722e+05,4.5187432e+06,2.6422091e+03,3.3282685e-03
9.594959e+00,11,4.2632916e+05,4.5187965e+06,2.6071565e+03,3.2167026e-03
9.595374e+00,11,4.2630292e+05,4.5188027e+06,2.6041228e+03,3.2063063e-03
9.595622e+00,11,4.2631629e+05,4.5187919e+06,2.5903976e+03,3.1860028e-03
9.595706e+00,11,4.2630269e+05,4.5187388e+06,2.6712920e+03,3.3090516e-03
9.596075e+00,10,4.2633732e+05,4.5187875e+06,2.7000676e+03,3.3891408e-03
9.596498e+00,10,4.2629572e+05,4.5188073e+06,2.6235963e+03,3.2442730e-03
9.597062e+00,11,4.2629320e+05,4.5187283e+06,2.7344805e+03,3.4432247e-03
9.597143e+00,11,4.2629477e+05,4.5187259e+06,2.7431331e+03,3.5184090e-03
9.597391e+00,11,4.2629858e+05,4.5187811e+06,2.7451163e+03,3.4725997e-03
9.598091e+00,11,4.2634846e+05,4.5187675e+06,2.6959916e+03,3.3898670e-03
9.598518e+00,11,4.2634026e+05,4.5187581e+06,2.7407520e+03,3.4984399e-03
9.598843e+00,11,4.2627932e+05,4.5187896e+06,2.6063030e+03,3.2182559e-03
9.599395e+00,11,4.2634511e+05,4.5187544e+06,2.7152748e+03,3.4311665e-03
9.599797e+00,11,4.2627652e+05,4.5187634e+06,2.6174656e+03,3.2714152e-03
9.600072e+00,11,4.2633141e+05,4.5187892e+06,2.7175439e+03,3.4797623e-03
9.600178e+00,11,4.2628853e+05,4.5187610e+06,2.7218190e+03,3.5168123e-03
9.600667e+00,10,4.2630293e+05,4.5187480e+06,2.6775159e+03,3.4349164e-03
9.600744e+00,11,4.2633415e+05,4.5187914e+06,2.6026356e+03,3.2170264e-03
9.601036e+00,11,4.2633571e+05,4.5187759e+06,2.7002668e+03,3.4732801e-03
9.601750e+00,11,4.2634081e+05,4.5187567e+06,2.6371385e+03,3.3157962e-03
9.602275e+00,11,4.2635199e+05,4.5187806e+06,2.6705332e+03,3.3801142e-03
9.602344e+00,10,4.2627513e+05,4.5187787e+06,2.6481181e+03,3.3589619e-03
9.602396e+00,10,4.2628255e+05,4.5187320e+06,2.7398612e+03,3.5190006e-03
9.604013e+00,11,4.2634635e+05,4.5187605e+06,2.6955397e+03,3.3808813e-03
9.604302e+00,11,4.2629952e+05,4.5187822e+06,2.7469832e+03,3.4799143e-03
9.605395e+00,11,4.2633561e+05,4.5187503e+06,2.6355561e+03,3.2887773e-03
9.605757e+00,11,4.2633216e+05,4.5187587e+06,2.7179150e+03,3.5082711e-03
9.606747e+00,11,4.2633203e+05,4.5187890e+06,2.6104879e+03,3.2872397e-03
9.607516e+00,11,4.2632347e+05,4.5187368e+06,2.6802135e+03,3.4197558e-03
9.609141e+00,11,4.2632106e+05,4.5187909e+06,2.7176772e+03,3.4925787e-03
9.609266e+00,11,4.2631423e+05,4.5187556e+06,2.7231438e+03,3.5274791e-03
9.610489e+00,11,4.2628949e+05,4.5187234e+06,2.6926252e+03,3.3827371e-03
9.610566e+00,11,4.2631276e+05,4.5187408e+06,2.7680927e+03,3.5767231e-03
9.610602e+00,11,4.2632316e+05,4.5187610e+06,2.6536433e+03,3.3924353e-03
9.610946e+00,11,4.2627235e+05,4.5187491e+06,2.7264774e+03,3.5049824e-03
9.611137e+00,11,4.2628374e+05,4.5187740e+06,2.7305388e+03,3.5203428e-03
9.611325e+00,9,4.2630083e+05,4.5187668e+06,2.7664078e+03,3.5720772e-03
9.611340e+00,11,4.2626447e+05,4.5187364e+06,2.7137721e+03,3.4404980e-03
9.612144e+00,11,4.2632625e+05,4.5187358e+06,2.6996647e+03,3.3751278e-03
9.612294e+00,11,4.2635174e+05,4.5187734e+06,2.6812309e+03,3.4119404e-03
9.612689e+00,11,4.2634793e+05,4.5187674e+06,2.6414122e+03,3.2887436e-03
9.613085e+00,11,4.2628882e+05,4.5187547e+06,2.6303795e+03,3.3241516e-03
9.613491e+00,11,4.2630002e+05,4.5187237e+06,2.7176444e+03,3.4783072e-03
9.613848e+00,11,4.2628226e+05,4.5187426e+06,2.6606596e+03,3.2895961e-03
9.614242e+00,10,4.2631642e+05,4.5187253e+06,2.6850736e+03,3.3968319e-03
9.614335e+00,11,4.2630699e+05,4.5187362e+06,2.7312679e+03,3.4203971e-03
9.614623e+00,11,4.2629786e+05,4.5187324e+06,2.7564197e+03,3.4842867e-03
9.614645e+00,11,4.2626713e+05,4.5187487e+06,2.6475246e+03,3.2956156e-03
9.614816e+00,11,4.2630670e+05,4.5187868e+06,2.7468479e+03,3.4943734e-03
9.615395e+00,10,4.2632171e+05,4.5187816e+06,2.5893957e+03,3.2349049e-03
9.615511e+00,10,4.2632955e+05,4.5187452e+06,2.6751594e+03,3.3216701e-03
