func,iter,xcen,ycen,depth,radius,dP_mu
2.024333e+01,19,4.2623197e+05,4.5186474e+06,3.8623116e+03,8.9760160e+02,5.0921827e-03
2.024346e+01,19,4.2621895e+05,4.5186537e+06,3.8746038e+03,9.1850560e+02,4.7535265e-03
2.024354e+01,18,4.2624597e+05,4.5186480e+06,3.8706349e+03,9.2668045e+02,4.7004874e-03
2.024486e+01,18,4.2624206e+05,4.5186689e+06,3.8747196e+03,9.1813356e+02,4.7576154e-03
2.024547e+01,19,4.2622846e+05,4.5186816e+06,3.9003323e+03,9.2677473e+02,4.7441153e-03
2.024621e+01,19,4.2620710e+05,4.5186622e+06,3.8934690e+03,9.2332650e+02,4.7187453e-03
2.024635e+01,18,4.2624129e+05,4.5186771e+06,3.9063649e+03,9.3007252e+02,4.6322076e-03
2.024641e+01,19,4.2623737e+05,4.5186437e+06,4.0025964e+03,9.6288876e+02,4.3625201e-03
2.024715e+01,19,4.2623069e+05,4.5186779e+06,3.8619940e+03,9.2636054e+02,4.6612884e-03
2.024717e+01,19,4.2623207e+05,4.5186387e+06,3.8827801e+03,9.1970544e+02,4.7532883e-03
2.024763e+01,19,4.2619828e+05,4.5186327e+06,3.9741127e+03,9.1367879e+02,5.0583190e-03
2.024801e+01,18,4.2624730e+05,4.5186444e+06,3.8964271e+03,8.9538307e+02,5.1552586e-03
2.024934e+01,19,4.2622359e+05,4.5186770e+06,3.8610551e+03,9.0651933e+02,4.9540091e-03
2.024954e+01,19,4.2624561e+05,4.5186204e+06,3.9507963e+03,9.7228568e+02,4.1691744e-03
2.025016e+01,19,4.2622388e+05,4.5186739e+06,3.9132829e+03,9.6678185e+02,4.2080834e-03
2.025040e+01,19,4.2624804e+05,4.5186746e+06,3.8998666e+03,9.2018083e+02,4.7667092e-03
2.025086e+01,19,4.2623730e+05,4.5186430e+06,3.9020747e+03,9.6526733e+02,4.2422159e-03
2.025103e+01,17,4.2621123e+05,4.5186634e+06,3.9648404e+03,9.1468864e+02,4.9637105e-03
2.025104e+01,18,4.2625450e+05,4.5186853e+06,3.9090134e+03,9.0646626e+02,5.0579973e-03
2.025106e+01,19,4.2623954e+05,4.5186650e+06,3.8706623e+03,9.2669817e+02,4.7167104e-03
2.025200e+01,19,4.2623093e+05,4.5186398e+06,4.0022442e+03,9.6212431e+02,4.3586761e-03
2.025216e+01,19,4.2621791e+05,4.5186530e+06,3.8720942e+03,8.9863305e+02,5.0638292e-03
2.025339e+01,18,4.2624351e+05,4.5186596e+06,3.8515838e+03,9.1843631e+02,4.7515748e-03
2.025367e+01,17,4.2624169e+05,4.5186404e+06,3.8678983e+03,8.9994963e+02,5.0908300e-03
2.025411e+01,19,4.2621147e+05,4.5186586e+06,3.9282961e+03,9.0275081e+02,5.0709074e-03
2.025474e+01,19,4.2621595e+05,4.5186721e+06,3.8751393e+03,9.2270393e+02,4.7590527e-03
2.025601e+01,18,4.2623803e+05,4.5186401e+06,3.9553801e+03,9.8836620e+02,4.0291584e-03
2.025694e+01,18,4.2622961e+05,4.5186364e+06,3.8947279e+03,8.9507854e+02,5.1551506e-03
2.025695e+01,17,4.2623047e+05,4.5186703e+06,3.8513555e+03,9.2671400e+02,4.6133642e-03
2.025746e+01,19,4.2621530e+05,4.5186651e+06,3.8677496e+03,9.1931402e+02,4.7353812e-03
2.025750e+01,18,4.2624263e+05,4.5186556e+06,3.9348965e+03,9.8059684e+02,3.9999173e-03
2.025754e+01,19,4.2626208e+05,4.5186520e+06,3.8914211e+03,9.1677165e+02,4.8270118e-03
