xtlc,ytlc,dtlc,length,width,dip,opening
4.2490536e+05,4.5197997e+06,3.6445053e+03,2.5876220e+03,2.3689078e+03,1.1484505e-01,1.0919746e+00
4.2490077e+05,4.5197763e+06,3.6702674e+03,2.5411022e+03,2.2804394e+03,3.0403346e-01,1.1723987e+00
4.2490929e+05,4.5197743e+06,3.6599358e+03,2.5460206e+03,2.2841034e+03,3.0536490e-01,1.1680539e+00
4.2495025e+05,4.5196991e+06,3.7054117e+03,2.4569617e+03,2.1937412e+03,6.5989519e-01,1.2836923e+00
4.2491199e+05,4.5197611e+06,3.6977421e+03,2.4947830e+03,2.2527553e+03,1.2391548e-01,1.2181462e+00
4.2493667e+05,4.5196976e+06,3.6880496e+03,2.4686444e+03,2.2242897e+03,4.8107765e-01,1.2618446e+00
4.2490552e+05,4.5197667e+06,3.6663593e+03,2.5391697e+03,2.3032269e+03,1.5950429e-01,1.1525203e+00
4.2494427e+05,4.5197277e+06,3.6505733e+03,2.4885861e+03,2.1903379e+03,2.8025770e-01,1.2583891e+00
4.2493359e+05,4.5197238e+06,3.6910897e+03,2.4947362e+03,2.2774556e+03,3.3263278e-01,1.2019858e+00
4.2490893e+05,4.5197672e+06,3.6737429e+03,2.5326740e+03,2.2770999e+03,3.2782202e-01,1.1803915e+00
4.2489315e+05,4.5197926e+06,3.6527789e+03,2.5648408e+03,2.3074584e+03,1.7419063e-01,1.1390837e+00
4.2545414e+05,4.5191878e+06,4.7033630e+03,1.3051089e+03,2.4417072e+03,3.0420841e+00,3.2508339e+00
4.2508612e+05,4.5195521e+06,3.6514456e+03,2.2880995e+03,1.9213821e+03,4.7368626e-01,1.5513109e+00
4.2490149e+05,4.5197943e+06,3.6506696e+03,2.5593356e+03,2.2964910e+03,1.1667768e-01,1.1487175e+00
4.2490604e+05,4.5197953e+06,3.6471979e+03,2.5803626e+03,2.3541095e+03,1.4809056e-01,1.1052504e+00
4.2489082e+05,4.5198019e+06,3.6620053e+03,2.5721110e+03,2.3373633e+03,1.4326867e-01,1.1188052e+00
4.2492152e+05,4.5197619e+06,3.6712544e+03,2.5360780e+03,2.3000561e+03,3.3597949e-01,1.1675595e+00
4.2497208e+05,4.5196786e+06,3.6971185e+03,2.4310337e+03,2.1547187e+03,5.8585415e-01,1.3209331e+00
