func,iter,xcen,ycen,depth,dP_mu
2.034177e+01,11,4.2625955e+05,4.5186333e+06,3.8802309e+03,3.7765168e-03
2.034202e+01,11,4.2623279e+05,4.5186121e+06,3.9876844e+03,3.9253094e-03
2.034376e+01,11,4.2622047e+05,4.5186179e+06,4.0026552e+03,3.9370889e-03
2.034388e+01,11,4.2621095e+05,4.5186623e+06,3.8334998e+03,3.6675582e-03
2.034500e+01,9,4.2623877e+05,4.5186564e+06,4.0028584e+03,3.9185091e-03
2.034560e+01,11,4.2625678e+05,4.5186506e+06,3.9942914e+03,3.9192151e-03
2.034654e+01,11,4.2623982e+05,4.5186575e+06,3.8471553e+03,3.6528081e-03
2.034657e+01,11,4.2625582e+05,4.5186289e+06,3.9011334e+03,3.8212579e-03
2.034879e+01,11,4.2624906e+05,4.5186655e+06,3.9406960e+03,3.8825968e-03
2.034951e+01,11,4.2621600e+05,4.5186088e+06,3.9506623e+03,3.8667594e-03
2.034961e+01,11,4.2619941e+05,4.5186387e+06,3.8696640e+03,3.7113803e-03
2.034992e+01,9,4.2620626e+05,4.5186638e+06,3.9573802e+03,3.8239502e-03
2.035071e+01,11,4.2626344e+05,4.5186764e+06,3.8614444e+03,3.7153982e-03
2.035118e+01,11,4.2619424e+05,4.5186405e+06,3.9611559e+03,3.8427057e-03
2.035156e+01,10,4.2623323e+05,4.5186347e+06,3.8898822e+03,3.8206523e-03
2.035185e+01,11,4.2624355e+05,4.5186792e+06,3.8742091e+03,3.7809202e-03
2.035258e+01,11,4.2626254e+05,4.5186752e+06,3.8651424e+03,3.7059202e-03
2.035375e+01,11,4.2621725e+05,4.5186730e+06,3.8856209e+03,3.6988469e-03
2.035403e+01,10,4.2626088e+05,4.5186823e+06,3.8791257e+03,3.7365825e-03
2.035444e+01,9,4.2619767e+05,4.5186501e+06,3.9626625e+03,3.8334109e-03
2.035487e+01,11,4.2622683e+05,4.5186434e+06,3.9025923e+03,3.8442520e-03
2.035579e+01,11,4.2624236e+05,4.5186740e+06,3.8883998e+03,3.8113272e-03
2.035584e+01,10,4.2621490e+05,4.5186361e+06,3.8626485e+03,3.7602083e-03
2.035633e+01,11,4.2619529e+05,4.5186231e+06,3.9526895e+03,3.8439159e-03
2.035740e+01,11,4.2621147e+05,4.5186648e+06,3.9629732e+03,3.8231192e-03
2.035765e+01,11,4.2622777e+05,4.5186303e+06,4.0229716e+03,3.9595878e-03
2.035877e+01,11,4.2623038e+05,4.5186350e+06,3.8383891e+03,3.7081349e-03
2.035901e+01,11,4.2620960e+05,4.5186084e+06,3.9570958e+03,3.8643320e-03
2.036078e+01,11,4.2620454e+05,4.5186346e+06,3.9316047e+03,3.8642862e-03
2.036126e+01,11,4.2623973e+05,4.5186126e+06,3.9321629e+03,3.8632673e-03
2.036185e+01,11,4.2625162e+05,4.5186317e+06,3.8625931e+03,3.6974181e-03
2.036271e+01,9,4.2622929e+05,4.5186619e+06,3.9854874e+03,3.8518349e-03
2.036295e+01,9,4.2626029e+05,4.5186754e+06,3.9017288e+03,3.8170373e-03
2.036297e+01,11,4.2622760e+05,4.5186613e+06,3.9759984e+03,3.8287654e-03
2.036694e+01,11,4.2621003e+05,4.5186335e+06,3.9433663e+03,3.7690921e-03
2.036749e+01,11,4.2623967e+05,4.5186383e+06,3.8345542e+03,3.6626687e-03
2.036852e+01,10,4.2622916e+05,4.5186607e+06,3.9966072e+03,3.8774825e-03
2.036857e+01,9,4.2621859e+05,4.5186636e+06,3.8869580e+03,3.8130460e-03
2.036899e+01,11,4.2621344e+05,4.5186545e+06,4.0000500e+03,3.9154558e-03
2.036997e+01,11,4.2625514e+05,4.5186293e+06,3.8698898e+03,3.7086648e-03
2.037085e+01,11,4.2621655e+05,4.5186027e+06,3.9651213e+03,3.8559037e-03
2.037099e+01,11,4.2625402e+05,4.5186665e+06,3.9478403e+03,3.8913349e-03
2.037137e+01,11,4.2622974e+05,4.5186781e+06,3.9488907e+03,3.8018262e-03
