func,iter,xcen,ycen,depth,dVol
9.541757e+00,11,4.2631827e+05,4.5187339e+06,2.7489807e+03,5.5411126e+06
9.542067e+00,11,4.2631556e+05,4.5187743e+06,2.7525770e+03,5.5030051e+06
9.542319e+00,10,4.2628854e+05,4.5187759e+06,2.6923080e+03,5.2735203e+06
9.542498e+00,11,4.2627909e+05,4.5187678e+06,2.7561871e+03,5.5252872e+06
9.542597e+00,11,4.2631124e+05,4.5187646e+06,2.7091260e+03,5.5082702e+06
9.543385e+00,11,4.2631578e+05,4.5187686e+06,2.7513044e+03,5.4859788e+06
9.543857e+00,11,4.2632777e+05,4.5187478e+06,2.7598016e+03,5.5691317e+06
9.544091e+00,11,4.2631432e+05,4.5187495e+06,2.7701057e+03,5.6532118e+06
9.544100e+00,10,4.2630780e+05,4.5187550e+06,2.6806540e+03,5.2462579e+06
9.544179e+00,11,4.2630059e+05,4.5187559e+06,2.6534452e+03,5.1943354e+06
9.544379e+00,11,4.2628276e+05,4.5187449e+06,2.6810529e+03,5.3440882e+06
9.545043e+00,11,4.2633304e+05,4.5187648e+06,2.6572334e+03,5.2515949e+06
9.545491e+00,10,4.2630717e+05,4.5187607e+06,2.6663177e+03,5.2054125e+06
9.546241e+00,10,4.2631794e+05,4.5187818e+06,2.6953298e+03,5.2920040e+06
9.546551e+00,11,4.2630733e+05,4.5187536e+06,2.6516509e+03,5.2053878e+06
9.546757e+00,9,4.2628821e+05,4.5187431e+06,2.6737580e+03,5.3031407e+06
9.546839e+00,9,4.2628630e+05,4.5187758e+06,2.6590758e+03,5.3119527e+06
9.547164e+00,11,4.2629304e+05,4.5187486e+06,2.6605332e+03,5.2357166e+06
9.547183e+00,11,4.2631526e+05,4.5187757e+06,2.6334048e+03,5.1474990e+06
9.547336e+00,11,4.2633288e+05,4.5187724e+06,2.6863075e+03,5.2862438e+06
9.547516e+00,11,4.2629238e+05,4.5187604e+06,2.7356793e+03,5.5795359e+06
9.547918e+00,11,4.2630030e+05,4.5187697e+06,2.7261027e+03,5.3744231e+06
9.548366e+00,11,4.2630726e+05,4.5187647e+06,2.7764623e+03,5.6555903e+06
9.548719e+00,11,4.2633195e+05,4.5187636e+06,2.7028096e+03,5.3334567e+06
9.548843e+00,11,4.2630530e+05,4.5187348e+06,2.7734514e+03,5.6075857e+06
9.550422e+00,11,4.2632974e+05,4.5187422e+06,2.7264095e+03,5.4410227e+06
9.550547e+00,10,4.2627915e+05,4.5187355e+06,2.7112670e+03,5.4008582e+06
9.550619e+00,11,4.2631755e+05,4.5187855e+06,2.6748382e+03,5.2324296e+06
9.550688e+00,11,4.2632378e+05,4.5187898e+06,2.6399473e+03,5.1734977e+06
9.550981e+00,9,4.2628483e+05,4.5187834e+06,2.6408104e+03,5.2157228e+06
9.551512e+00,11,4.2631054e+05,4.5187860e+06,2.6938290e+03,5.4512199e+06
9.552209e+00,11,4.2628665e+05,4.5187772e+06,2.6918379e+03,5.4353698e+06
9.552515e+00,11,4.2630569e+05,4.5187476e+06,2.7724448e+03,5.5602945e+06
9.553864e+00,11,4.2628026e+05,4.5187422e+06,2.7154688e+03,5.4802616e+06
9.553879e+00,7,4.2632744e+05,4.5187601e+06,2.6582448e+03,5.2228592e+06
9.553892e+00,11,4.2631458e+05,4.5187630e+06,2.6376533e+03,5.1767166e+06
9.554861e+00,11,4.2633763e+05,4.5187645e+06,2.6644258e+03,5.2789284e+06
9.555246e+00,10,4.2628885e+05,4.5187888e+06,2.6650652e+03,5.3325756e+06
9.555350e+00,11,4.2631677e+05,4.5187574e+06,2.7681875e+03,5.5517323e+06
9.555921e+00,11,4.2631690e+05,4.5188001e+06,2.6466732e+03,5.2488321e+06
9.557195e+00,11,4.2629115e+05,4.5187948e+06,2.6407125e+03,5.1755505e+06
9.558182e+00,11,4.2632639e+05,4.5187941e+06,2.6412982e+03,5.1919522e+06
9.558237e+00,10,4.2634195e+05,4.5187722e+06,2.6701010e+03,5.3118428e+06
9.560422e+00,11,4.2630644e+05,4.5187303e+06,2.7372012e+03,5.4563348e+06
9.560695e+00,11,4.2628603e+05,4.5187520e+06,2.6982630e+03,5.2914858e+06
9.560951e+00,8,4.2630403e+05,4.5187522e+06,2.7765972e+03,5.5733385e+06
9.561015e+00,11,4.2628921e+05,4.5187821e+06,2.6626216e+03,5.1902947e+06
9.561040e+00,11,4.2629716e+05,4.5187903e+06,2.6645744e+03,5.3433422e+06
9.561176e+00,11,4.2627716e+05,4.5187869e+06,2.6618847e+03,5.2907799e+06
9.561887e+00,11,4.2631631e+05,4.5187504e+06,2.6607972e+03,5.2244700e+06
9.562087e+00,11,4.2631245e+05,4.5187484e+06,2.6555430e+03,5.2552837e+06
9.562260e+00,11,4.2628756e+05,4.5187604e+06,2.6668891e+03,5.3439094e+06
9.562281e+00,10,4.2626907e+05,4.5187781e+06,2.6691346e+03,5.2915025e+06
9.562372e+00,11,4.2629088e+05,4.5187842e+06,2.7206174e+03,5.5197957e+06
9.562756e+00,11,4.2633380e+05,4.5187781e+06,2.6501448e+03,5.2716209e+06
9.563050e+00,11,4.2630547e+05,4.5187606e+06,2.7218773e+03,5.3538814e+06
9.563420e+00,11,4.2628203e+05,4.5187848e+06,2.6542407e+03,5.2823416e+06
9.563683e+00,11,4.2633886e+05,4.5187828e+06,2.6639342e+03,5.3135679e+06
9.564232e+00,11,4.2630553e+05,4.5187642e+06,2.7837254e+03,5.6561133e+06
9.564884e+00,11,4.2630298e+05,4.5187346e+06,2.7722647e+03,5.5738699e+06
9.564894e+00,11,4.2631622e+05,4.5187461e+06,2.7169421e+03,5.3587123e+06
9.565193e+00,11,4.2628948e+05,4.5187558e+06,2.6451050e+03,5.2052655e+06
9.565227e+00,11,4.2629873e+05,4.5187683e+06,2.7788157e+03,5.6550451e+06
9.566260e+00,10,4.2631993e+05,4.5187566e+06,2.7800034e+03,5.6293152e+06
9.566434e+00,11,4.2631504e+05,4.5187839e+06,2.6611566e+03,5.1860802e+06
9.566588e+00,11,4.2631942e+05,4.5187786e+06,2.6312852e+03,5.1373546e+06
9.566824e+00,11,4.2632620e+05,4.5187876e+06,2.6851798e+03,5.4181393e+06
9.566973e+00,10,4.2633001e+05,4.5187554e+06,2.7665011e+03,5.5845920e+06
9.566976e+00,11,4.2629801e+05,4.5187862e+06,2.7224190e+03,5.3780422e+06
9.566982e+00,11,4.2630502e+05,4.5187538e+06,2.7868837e+03,5.6332555e+06
9.567079e+00,10,4.2632192e+05,4.5187403e+06,2.7723985e+03,5.6124248e+06
9.567089e+00,11,4.2630246e+05,4.5187626e+06,2.6324746e+03,5.1822475e+06
9.568009e+00,10,4.2631463e+05,4.5187746e+06,2.6688601e+03,5.3788504e+06
9.568112e+00,10,4.2627872e+05,4.5187752e+06,2.7463631e+03,5.5709817e+06
9.568165e+00,10,4.2628578e+05,4.5187696e+06,2.7735843e+03,5.6092351e+06
9.568223e+00,11,4.2630721e+05,4.5187592e+06,2.6493496e+03,5.2819875e+06
9.568255e+00,11,4.2633864e+05,4.5187486e+06,2.7333960e+03,5.4827134e+06
9.568931e+00,10,4.2629054e+05,4.5187520e+06,2.7881534e+03,5.6660426e+06
9.569145e+00,10,4.2628270e+05,4.5187792e+06,2.7326830e+03,5.5469021e+06
9.569826e+00,9,4.2631565e+05,4.5187305e+06,2.7414386e+03,5.5511635e+06
9.570310e+00,11,4.2633114e+05,4.5187472e+06,2.7032188e+03,5.3476056e+06
9.571415e+00,11,4.2630108e+05,4.5187435e+06,2.7907015e+03,5.6735972e+06
9.571666e+00,11,4.2630368e+05,4.5187830e+06,2.6484867e+03,5.2979023e+06
9.571753e+00,11,4.2627758e+05,4.5187823e+06,2.7053033e+03,5.4586390e+06
9.571767e+00,9,4.2628553e+05,4.5187655e+06,2.7100822e+03,5.5037554e+06
9.571957e+00,11,4.2632207e+05,4.5187600e+06,2.6672711e+03,5.2144515e+06
9.572541e+00,11,4.2630609e+05,4.5188028e+06,2.6465671e+03,5.2521043e+06
9.572611e+00,10,4.2626783e+05,4.5187493e+06,2.7482267e+03,5.4931235e+06
