xcen,ycen,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.2684282e+05,4.5179388e+06,4.8811582e+03,2.0794170e+07,3.4213788e+07,3.2596448e+07,1.2810261e+06,3.6359916e+06,-3.8409792e+06
4.2680131e+05,4.5179178e+06,4.8884001e+03,2.2125044e+07,3.5487916e+07,3.4184460e+07,1.4945458e+06,2.9993779e+06,-4.2111389e+06
4.2678102e+05,4.5178551e+06,4.9030407e+03,2.2196295e+07,3.5357206e+07,3.4137816e+07,1.3628684e+06,3.1349485e+06,-4.2750375e+06
4.2679753e+05,4.5178657e+06,4.8838084e+03,2.1670803e+07,3.5481767e+07,3.3887191e+07,1.5031728e+06,3.1515837e+06,-4.2951986e+06
4.2678927e+05,4.5179608e+06,4.8589681e+03,2.2412121e+07,3.5022285e+07,3.4176475e+07,1.3302271e+06,3.0574008e+06,-3.9363055e+06
4.2676973e+05,4.5178562e+06,4.8805533e+03,2.2255716e+07,3.5355731e+07,3.4109050e+07,1.5513341e+06,3.1525816e+06,-4.2178361e+06
4.2675289e+05,4.5178932e+06,4.8874619e+03,2.3810654e+07,3.4609395e+07,3.4033845e+07,1.0390413e+06,3.2579206e+06,-3.7410626e+06
4.2678622e+05,4.5178797e+06,4.9027421e+03,2.2714049e+07,3.5078784e+07,3.4148078e+07,1.2923452e+06,3.1965327e+06,-4.0235562e+06
4.2677361e+05,4.5178560e+06,4.8815892e+03,2.2167975e+07,3.5179298e+07,3.4048549e+07,1.4822871e+06,3.1846097e+06,-4.1771298e+06
4.2677561e+05,4.5178668e+06,4.8921810e+03,2.2691847e+07,3.4933079e+07,3.4131138e+07,1.2879235e+06,3.1902222e+06,-4.0490182e+06
4.2675257e+05,4.5178818e+06,4.9492059e+03,2.4041861e+07,3.4646071e+07,3.4004295e+07,5.4254656e+05,3.2608867e+06,-3.8580329e+06
4.2677670e+05,4.5178925e+06,4.9019078e+03,2.2811333e+07,3.5096412e+07,3.4016292e+07,1.2011953e+06,3.1618341e+06,-4.0552424e+06
4.2680091e+05,4.5179383e+06,4.8923412e+03,2.2224376e+07,3.3989176e+07,3.2898384e+07,9.9738676e+05,3.7118649e+06,-3.6100264e+06
4.2675313e+05,4.5178855e+06,4.8894333e+03,2.3609741e+07,3.4739559e+07,3.4074115e+07,1.1174151e+06,3.2388112e+06,-3.8159241e+06
4.2680159e+05,4.5179377e+06,4.8765013e+03,2.1539328e+07,3.5480037e+07,3.3874290e+07,1.3020414e+06,3.0717370e+06,-4.1974821e+06
4.2674764e+05,4.5178911e+06,4.8939644e+03,2.3141242e+07,3.4669858e+07,3.4359561e+07,1.0931593e+06,3.1399054e+06,-3.8680264e+06
4.2681881e+05,4.5178409e+06,4.9479244e+03,2.2207703e+07,3.4597936e+07,3.3993486e+07,9.0824317e+05,3.2964259e+06,-4.2216726e+06
4.2678581e+05,4.5178939e+06,4.8902624e+03,2.2546925e+07,3.4785959e+07,3.3605910e+07,1.1550213e+06,3.3649512e+06,-3.9176278e+06
4.2684797e+05,4.5179451e+06,4.8815241e+03,2.0444460e+07,3.4165276e+07,3.2409516e+07,1.2849710e+06,3.6693200e+06,-3.8619398e+06
4.2679378e+05,4.5179068e+06,4.9016487e+03,2.2265632e+07,3.5271793e+07,3.4045272e+07,1.2081769e+06,3.0941792e+06,-4.1573394e+06
4.2678525e+05,4.5178805e+06,4.8894883e+03,2.2229383e+07,3.5216184e+07,3.4030152e+07,1.3188703e+06,3.1460328e+06,-4.1555851e+06
4.2679430e+05,4.5179040e+06,4.8800275e+03,2.1967980e+07,3.5297129e+07,3.3884308e+07,1.3287378e+06,3.1429822e+06,-4.1403147e+06
4.2678522e+05,4.5179331e+06,4.8679520e+03,2.2499272e+07,3.4981951e+07,3.4152251e+07,1.3012697e+06,3.0940947e+06,-3.9638738e+06
4.2679239e+05,4.5178862e+06,4.8812904e+03,2.1968245e+07,3.4871822e+07,3.3645795e+07,1.3806369e+06,3.3039054e+06,-4.0432289e+06
4.2674439e+05,4.5179242e+06,4.8918943e+03,2.4646080e+07,3.4279326e+07,3.3829102e+07,6.5510253e+05,3.3153539e+06,-3.5010243e+06
4.2677263e+05,4.5178860e+06,4.9025926e+03,2.3020991e+07,3.4913150e+07,3.3869940e+07,1.0880550e+06,3.2693934e+06,-3.9395028e+06
