xcen,ycen,depth,dP_mu
4.2629807e+05,4.5187889e+06,2.6475964e+03,3.2970907e-03
4.2626627e+05,4.5187936e+06,2.6380665e+03,3.2830112e-03
4.2629013e+05,4.5187994e+06,2.5963959e+03,3.2325585e-03
4.2627645e+05,4.5187906e+06,2.6988971e+03,3.3703762e-03
4.2628288e+05,4.5187820e+06,2.7050765e+03,3.3786288e-03
4.2629296e+05,4.5187932e+06,2.7237992e+03,3.3934642e-03
4.2628253e+05,4.5188059e+06,2.6881650e+03,3.3654216e-03
4.2631434e+05,4.5188048e+06,2.7150899e+03,3.3931601e-03
4.2629782e+05,4.5187826e+06,2.6171776e+03,3.2590582e-03
4.2628504e+05,4.5187972e+06,2.6476446e+03,3.2886868e-03
4.2631836e+05,4.5188215e+06,2.6115650e+03,3.2467459e-03
4.2627755e+05,4.5187917e+06,2.6883812e+03,3.3524239e-03
4.2628795e+05,4.5187871e+06,2.6500447e+03,3.3090833e-03
4.2629458e+05,4.5187974e+06,2.7025273e+03,3.3757274e-03
4.2630829e+05,4.5188244e+06,2.6106311e+03,3.2516223e-03
4.2630649e+05,4.5188063e+06,2.6691405e+03,3.3223732e-03
4.2629633e+05,4.5187954e+06,2.6088178e+03,3.2361527e-03
4.2630186e+05,4.5188082e+06,2.6090201e+03,3.2306209e-03
4.2633402e+05,4.5188330e+06,2.5843754e+03,3.2074024e-03
4.2628173e+05,4.5187945e+06,2.6657580e+03,3.3179792e-03
4.2629348e+05,4.5187926e+06,2.6596531e+03,3.3216531e-03
4.2630425e+05,4.5188039e+06,2.6813295e+03,3.3449345e-03
4.2630947e+05,4.5188234e+06,2.5980528e+03,3.2238854e-03
4.2631738e+05,4.5188155e+06,2.6522493e+03,3.2992446e-03
4.2631500e+05,4.5188233e+06,2.5914239e+03,3.2114317e-03
4.2630409e+05,4.5188069e+06,2.6187258e+03,3.2430248e-03
4.2633050e+05,4.5188256e+06,2.6123134e+03,3.2476039e-03
4.2630564e+05,4.5188103e+06,2.6329726e+03,3.2729356e-03
4.2630793e+05,4.5188113e+06,2.6216663e+03,3.2594069e-03
4.2631770e+05,4.5188165e+06,2.6548034e+03,3.3057725e-03
4.2632575e+05,4.5188434e+06,2.5719296e+03,3.1898824e-03
4.2630253e+05,4.5188063e+06,2.6496519e+03,3.2876519e-03
4.2632602e+05,4.5188150e+06,2.6236936e+03,3.2603590e-03
4.2630780e+05,4.5188106e+06,2.6225565e+03,3.2501608e-03
4.2632811e+05,4.5188228e+06,2.6100984e+03,3.2476749e-03
4.2629764e+05,4.5188029e+06,2.6295319e+03,3.2638658e-03
4.2631127e+05,4.5188127e+06,2.6122495e+03,3.2472645e-03
4.2632090e+05,4.5188209e+06,2.6453590e+03,3.2903769e-03
4.2631124e+05,4.5188326e+06,2.6041209e+03,3.2265473e-03
4.2631313e+05,4.5188060e+06,2.6467752e+03,3.2864097e-03
4.2633424e+05,4.5188200e+06,2.6211907e+03,3.2551550e-03
4.2631008e+05,4.5188086e+06,2.6320216e+03,3.2599243e-03
4.2631610e+05,4.5188182e+06,2.6169305e+03,3.2474373e-03
4.2630647e+05,4.5188072e+06,2.6355382e+03,3.2756847e-03
4.2631239e+05,4.5187978e+06,2.6362064e+03,3.2820824e-03
4.2632315e+05,4.5188211e+06,2.6382365e+03,3.2814908e-03
4.2631194e+05,4.5188346e+06,2.5982752e+03,3.2153525e-03
4.2628656e+05,4.5188089e+06,2.6336184e+03,3.2602343e-03
4.2634109e+05,4.5188297e+06,2.6086525e+03,3.2342142e-03
4.2631377e+05,4.5188065e+06,2.6306092e+03,3.2427730e-03
4.2630581e+05,4.5188140e+06,2.6040718e+03,3.2253249e-03
4.2630113e+05,4.5188073e+06,2.6219215e+03,3.2674646e-03
4.2631461e+05,4.5188088e+06,2.6398042e+03,3.2780062e-03
4.2633202e+05,4.5188250e+06,2.6233126e+03,3.2560263e-03
4.2631175e+05,4.5188395e+06,2.5827198e+03,3.1974273e-03
4.2630998e+05,4.5188259e+06,2.6236540e+03,3.2505194e-03
4.2634090e+05,4.5188293e+06,2.6039713e+03,3.2285428e-03
4.2631781e+05,4.5188195e+06,2.6148673e+03,3.2240656e-03
4.2630517e+05,4.5188158e+06,2.5796555e+03,3.1983426e-03
4.2630527e+05,4.5188124e+06,2.6032459e+03,3.2327783e-03
4.2631665e+05,4.5188186e+06,2.6282396e+03,3.2579439e-03
4.2633328e+05,4.5188265e+06,2.6224824e+03,3.2520633e-03
4.2631564e+05,4.5188420e+06,2.5712374e+03,3.1530130e-03
4.2632542e+05,4.5188362e+06,2.6129377e+03,3.2323820e-03
4.2633123e+05,4.5188229e+06,2.6136789e+03,3.2446740e-03
4.2632885e+05,4.5188177e+06,2.6046772e+03,3.1576578e-03
4.2631347e+05,4.5188194e+06,2.5767772e+03,3.1701656e-03
4.2630933e+05,4.5188118e+06,2.6084304e+03,3.2360730e-03
4.2630755e+05,4.5188069e+06,2.6423445e+03,3.2753324e-03
4.2631727e+05,4.5188153e+06,2.6170433e+03,3.2473461e-03
4.2631276e+05,4.5188348e+06,2.5994691e+03,3.1761335e-03
4.2633116e+05,4.5188523e+06,2.5791619e+03,3.1765324e-03
4.2632726e+05,4.5188275e+06,2.6070890e+03,3.2267125e-03
4.2632642e+05,4.5188169e+06,2.6055144e+03,3.1701164e-03
4.2632445e+05,4.5188149e+06,2.5858522e+03,3.1757652e-03
4.2631256e+05,4.5188272e+06,2.5849916e+03,3.1709056e-03
4.2632085e+05,4.5188119e+06,2.6104252e+03,3.2086488e-03
4.2633211e+05,4.5188135e+06,2.6313027e+03,3.2357786e-03
4.2632508e+05,4.5188298e+06,2.6136303e+03,3.1988055e-03
4.2633354e+05,4.5188355e+06,2.6164062e+03,3.2287070e-03
4.2632787e+05,4.5188319e+06,2.6098812e+03,3.1913768e-03
4.2631832e+05,4.5188248e+06,2.5854952e+03,3.1256526e-03
4.2632376e+05,4.5188232e+06,2.5863312e+03,3.1862467e-03
4.2631942e+05,4.5188320e+06,2.5886165e+03,3.1754715e-03
4.2631081e+05,4.5188125e+06,2.5916522e+03,3.1847546e-03
4.2632426e+05,4.5188071e+06,2.6055804e+03,3.2143417e-03
4.2631763e+05,4.5188238e+06,2.6155646e+03,3.1915088e-03
4.2632623e+05,4.5188361e+06,2.6189744e+03,3.2207851e-03
4.2633275e+05,4.5188166e+06,2.6183310e+03,3.1912676e-03
4.2632534e+05,4.5188193e+06,2.5977026e+03,3.1504639e-03
4.2632688e+05,4.5188249e+06,2.5944102e+03,3.1910540e-03
4.2630979e+05,4.5188409e+06,2.5716646e+03,3.1424849e-03
4.2631960e+05,4.5188087e+06,2.6220819e+03,3.2138204e-03
4.2632440e+05,4.5188138e+06,2.6047893e+03,3.2000774e-03
4.2632013e+05,4.5188222e+06,2.6108088e+03,3.1743224e-03
4.2632741e+05,4.5188363e+06,2.6084934e+03,3.2026092e-03
4.2634598e+05,4.5188161e+06,2.6407252e+03,3.2517137e-03
4.2632271e+05,4.5188244e+06,2.5850179e+03,3.1258090e-03
4.2632314e+05,4.5188218e+06,2.5780989e+03,3.1722806e-03
4.2631536e+05,4.5188241e+06,2.6092792e+03,3.1749369e-03
4.2631773e+05,4.5188174e+06,2.6098948e+03,3.1944085e-03
4.2633110e+05,4.5188141e+06,2.6081317e+03,3.1810860e-03
4.2632421e+05,4.5188263e+06,2.5953041e+03,3.1574019e-03
4.2632505e+05,4.5188403e+06,2.6084238e+03,3.2022120e-03
4.2633269e+05,4.5188198e+06,2.6142949e+03,3.1933555e-03
4.2632458e+05,4.5188211e+06,2.5937802e+03,3.1454477e-03
4.2631664e+05,4.5188327e+06,2.5609098e+03,3.1520774e-03
4.2631033e+05,4.5188202e+06,2.6054205e+03,3.1732118e-03
4.2631520e+05,4.5188211e+06,2.5923016e+03,3.1997111e-03
4.2632943e+05,4.5188169e+06,2.5909062e+03,3.1785145e-03
4.2632137e+05,4.5188287e+06,2.5977454e+03,3.1653657e-03
4.2633628e+05,4.5188420e+06,2.6059727e+03,3.1967588e-03
4.2631619e+05,4.5188185e+06,2.6209728e+03,3.2290483e-03
4.2633165e+05,4.5188248e+06,2.5946869e+03,3.1523157e-03
4.2633238e+05,4.5188296e+06,2.5745477e+03,3.1427737e-03
4.2630380e+05,4.5188262e+06,2.6138911e+03,3.2344501e-03
4.2632280e+05,4.5188315e+06,2.5975713e+03,3.2049180e-03
4.2633981e+05,4.5188156e+06,2.6108890e+03,3.1883741e-03
4.2631947e+05,4.5188343e+06,2.5974655e+03,3.1528571e-03
4.2634099e+05,4.5188464e+06,2.5969408e+03,3.1896477e-03
4.2631501e+05,4.5188235e+06,2.6202444e+03,3.2152958e-03
4.2631729e+05,4.5188373e+06,2.5951286e+03,3.1739708e-03
4.2633725e+05,4.5188289e+06,2.5698655e+03,3.1411704e-03
4.2631022e+05,4.5188261e+06,2.6101082e+03,3.2193514e-03
4.2633183e+05,4.5188300e+06,2.5758141e+03,3.1637458e-03
4.2633255e+05,4.5188259e+06,2.5969345e+03,3.1667710e-03
4.2632135e+05,4.5188333e+06,2.5961634e+03,3.1540471e-03
4.2632734e+05,4.5188313e+06,2.6100377e+03,3.2117232e-03
4.2630975e+05,4.5188197e+06,2.6302639e+03,3.2241407e-03
4.2632855e+05,4.5188374e+06,2.5868825e+03,3.1638728e-03
4.2633887e+05,4.5188273e+06,2.5803645e+03,3.1441252e-03
4.2631183e+05,4.5188242e+06,2.6152635e+03,3.2134814e-03
4.2633406e+05,4.5188302e+06,2.5701598e+03,3.1580852e-03
4.2632971e+05,4.5188259e+06,2.6012401e+03,3.1728855e-03
4.2632012e+05,4.5188368e+06,2.6007315e+03,3.1660039e-03
4.2631839e+05,4.5188276e+06,2.6186862e+03,3.2306093e-03
4.2631686e+05,4.5188235e+06,2.6124758e+03,3.2050937e-03
4.2632907e+05,4.5188405e+06,2.5766229e+03,3.1478628e-03
4.2632945e+05,4.5188280e+06,2.6007412e+03,3.1701796e-03
4.2631930e+05,4.5188241e+06,2.6121293e+03,3.2015914e-03
4.2633260e+05,4.5188342e+06,2.5675068e+03,3.1330947e-03
4.2632850e+05,4.5188272e+06,2.5925687e+03,3.1732590e-03
4.2633479e+05,4.5188459e+06,2.5754101e+03,3.1266775e-03
4.2631908e+05,4.5188246e+06,2.6234131e+03,3.2398960e-03
4.2631412e+05,4.5188272e+06,2.6024610e+03,3.1959150e-03
4.2632510e+05,4.5188394e+06,2.5893144e+03,3.1667843e-03
4.2632799e+05,4.5188266e+06,2.5908201e+03,3.1389105e-03
4.2631512e+05,4.5188227e+06,2.6187704e+03,3.2023232e-03
4.2632508e+05,4.5188339e+06,2.5685902e+03,3.1473902e-03
4.2633163e+05,4.5188265e+06,2.5953807e+03,3.1691623e-03
4.2633769e+05,4.5188538e+06,2.5841944e+03,3.1193437e-03
4.2632316e+05,4.5188291e+06,2.6033784e+03,3.1869403e-03
4.2631986e+05,4.5188350e+06,2.5749130e+03,3.1615103e-03
4.2632273e+05,4.5188389e+06,2.6007907e+03,3.1790254e-03
4.2632670e+05,4.5188297e+06,2.5834171e+03,3.1422914e-03
