func,iter,xtlc,ytlc,dtlc,length,opening
2.071516e+01,11,4.2554961e+05,4.5195680e+06,3.9893809e+03,1.2765345e+03,3.4347486e+00
2.072985e+01,10,4.2551355e+05,4.5195974e+06,3.8713062e+03,1.3936164e+03,3.0311058e+00
2.074476e+01,10,4.2552419e+05,4.5195468e+06,3.8612827e+03,1.3584702e+03,3.1672631e+00
2.076856e+01,10,4.2521557e+05,4.5195522e+06,3.9008042e+03,2.0464996e+03,2.1181143e+00
2.078999e+01,11,4.2556591e+05,4.5195805e+06,3.8195012e+03,1.2344872e+03,3.3174853e+00
2.079323e+01,11,4.2521253e+05,4.5195367e+06,3.8148644e+03,1.9955966e+03,2.0697761e+00
2.082048e+01,8,4.2558649e+05,4.5194848e+06,3.9060948e+03,1.3649554e+03,3.0583630e+00
2.082098e+01,11,4.2523799e+05,4.5195397e+06,3.8406401e+03,2.0447214e+03,2.1013164e+00
2.082936e+01,11,4.2573970e+05,4.5195825e+06,3.8454354e+03,1.0961396e+03,3.8364636e+00
2.082945e+01,11,4.2563007e+05,4.5195558e+06,3.7650289e+03,1.3038665e+03,3.1015526e+00
2.083865e+01,11,4.2553674e+05,4.5194933e+06,4.1070901e+03,1.3087185e+03,3.5153027e+00
2.084706e+01,11,4.2565152e+05,4.5194848e+06,4.1320862e+03,1.2007074e+03,3.7705909e+00
2.084917e+01,10,4.2547874e+05,4.5195240e+06,3.9490300e+03,1.4060224e+03,3.1570040e+00
2.085687e+01,10,4.2525634e+05,4.5195404e+06,3.9124883e+03,2.0180907e+03,2.1699093e+00
2.086564e+01,11,4.2527202e+05,4.5195161e+06,3.8370349e+03,1.8056373e+03,2.3022561e+00
2.086689e+01,11,4.2554405e+05,4.5195103e+06,3.8974061e+03,1.5195394e+03,2.7910766e+00
2.086846e+01,10,4.2547298e+05,4.5196102e+06,3.8955436e+03,1.5234640e+03,2.7893911e+00
2.088632e+01,11,4.2541275e+05,4.5194995e+06,3.8030625e+03,1.5371947e+03,2.6588074e+00
2.089111e+01,9,4.2526113e+05,4.5195086e+06,3.9937669e+03,1.8958471e+03,2.3443713e+00
2.089135e+01,11,4.2563428e+05,4.5196010e+06,3.9144040e+03,1.2220648e+03,3.4116337e+00
2.089816e+01,10,4.2556306e+05,4.5195227e+06,3.8961209e+03,1.4480219e+03,2.8651935e+00
2.090092e+01,11,4.2556245e+05,4.5195365e+06,3.7923357e+03,1.2141435e+03,3.3768890e+00
2.090587e+01,10,4.2557333e+05,4.5195568e+06,3.7867495e+03,1.3800978e+03,2.8828034e+00
2.092397e+01,10,4.2553335e+05,4.5195547e+06,3.7394656e+03,1.4920575e+03,2.7209058e+00
2.092526e+01,11,4.2530082e+05,4.5195528e+06,3.7087352e+03,1.8011775e+03,2.2391154e+00
2.093983e+01,11,4.2560647e+05,4.5194888e+06,4.1459998e+03,1.1844588e+03,3.8337439e+00
2.094575e+01,11,4.2524548e+05,4.5195195e+06,3.9133451e+03,1.9595926e+03,2.1643574e+00
2.094769e+01,11,4.2528190e+05,4.5195487e+06,3.9218034e+03,1.8435862e+03,2.4078442e+00
2.097227e+01,11,4.2556136e+05,4.5195491e+06,3.7342881e+03,1.4342368e+03,2.8222057e+00
2.097356e+01,11,4.2528473e+05,4.5195141e+06,3.7504957e+03,1.8863318e+03,2.1946753e+00
2.097410e+01,11,4.2558529e+05,4.5195210e+06,3.8236478e+03,1.4416548e+03,2.8629599e+00
2.097544e+01,11,4.2516892e+05,4.5195559e+06,3.7951024e+03,2.0456447e+03,1.9978373e+00
2.098316e+01,11,4.2517362e+05,4.5195551e+06,3.9013167e+03,2.0869499e+03,2.1124357e+00
2.099018e+01,11,4.2545880e+05,4.5195649e+06,3.9721853e+03,1.6765604e+03,2.6234137e+00
2.100326e+01,11,4.2522778e+05,4.5195309e+06,3.9305755e+03,2.0730319e+03,2.0981182e+00
2.100674e+01,11,4.2549548e+05,4.5194943e+06,4.1101044e+03,1.3641078e+03,3.3757195e+00
2.100976e+01,11,4.2553673e+05,4.5194973e+06,4.1509026e+03,1.4096865e+03,3.3057991e+00
2.101112e+01,11,4.2547047e+05,4.5195529e+06,3.9295689e+03,1.3833662e+03,3.0202652e+00
2.102347e+01,8,4.2513857e+05,4.5195463e+06,3.8954234e+03,2.2171474e+03,1.9552314e+00
2.102407e+01,11,4.2538551e+05,4.5195627e+06,3.8555568e+03,1.5692791e+03,2.7320424e+00
2.103000e+01,11,4.2521470e+05,4.5195711e+06,3.8249580e+03,1.9103178e+03,2.2185712e+00
2.103046e+01,6,4.2526148e+05,4.5195272e+06,3.7078183e+03,1.8933108e+03,2.1264603e+00
2.103355e+01,11,4.2520581e+05,4.5195185e+06,3.9515695e+03,1.9343177e+03,2.2612298e+00
2.103604e+01,11,4.2565056e+05,4.5195519e+06,3.8554716e+03,1.3453862e+03,3.1336349e+00
2.104555e+01,11,4.2522858e+05,4.5195517e+06,3.8112018e+03,2.0273685e+03,2.1300504e+00
2.106062e+01,11,4.2557123e+05,4.5195079e+06,4.1207343e+03,1.3964133e+03,3.3507145e+00
2.106146e+01,11,4.2522165e+05,4.5195365e+06,3.9620670e+03,2.0671730e+03,2.1224602e+00
2.106232e+01,11,4.2562028e+05,4.5195392e+06,3.8894628e+03,1.4145536e+03,3.0030226e+00
2.106861e+01,11,4.2523045e+05,4.5195448e+06,3.8584989e+03,1.8447277e+03,2.3069502e+00
2.107016e+01,11,4.2549752e+05,4.5195659e+06,3.7348786e+03,1.4394909e+03,2.8534074e+00
2.107106e+01,11,4.2521001e+05,4.5195043e+06,3.8774452e+03,2.1046652e+03,2.0405926e+00
2.107517e+01,10,4.2526374e+05,4.5195454e+06,3.7431106e+03,2.0257376e+03,1.9978322e+00
2.107877e+01,10,4.2520529e+05,4.5195719e+06,3.8759924e+03,2.0760293e+03,2.0215432e+00
2.108298e+01,8,4.2516156e+05,4.5195813e+06,3.8421831e+03,2.0231226e+03,2.0745999e+00
2.108732e+01,11,4.2526758e+05,4.5195401e+06,3.9150954e+03,1.9925604e+03,2.2388358e+00
2.109957e+01,11,4.2546672e+05,4.5195175e+06,3.7088744e+03,1.5114981e+03,2.6123485e+00
2.110573e+01,11,4.2556272e+05,4.5195711e+06,3.7772486e+03,1.3854631e+03,3.0327748e+00
2.111478e+01,10,4.2521950e+05,4.5194989e+06,3.8650760e+03,2.0206888e+03,2.1639174e+00
2.111478e+01,11,4.2535586e+05,4.5194936e+06,4.0329241e+03,1.8043958e+03,2.5417084e+00
2.112718e+01,11,4.2520567e+05,4.5195956e+06,3.8899035e+03,2.0430036e+03,2.0739955e+00
2.112987e+01,11,4.2538561e+05,4.5195788e+06,3.9456150e+03,1.7764817e+03,2.5152719e+00
2.113467e+01,11,4.2527185e+05,4.5195119e+06,3.8615665e+03,2.0359627e+03,2.1095980e+00
