func,iter,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
1.696498e+01,15,3.2306103e+03,1.5040674e+07,1.3791494e+07,1.9172387e+07,-2.3588452e+06,4.9957115e+05,2.4428453e+04
1.702408e+01,17,3.7860195e+03,1.1068216e+07,1.4580734e+07,2.2193656e+07,-8.8624966e+05,3.6045378e+05,-7.1384509e+04
1.715375e+01,16,3.3145762e+03,1.0104772e+07,1.7053738e+07,2.0581554e+07,-3.8997840e+05,-8.7484693e+05,-6.1159086e+05
1.715876e+01,15,3.8186849e+03,1.2670704e+07,1.1516572e+07,2.2442475e+07,-9.7588293e+05,6.9316372e+05,-2.3395356e+04
1.716264e+01,13,3.5271920e+03,1.1374138e+07,9.3177619e+06,1.9650317e+07,-6.4263351e+05,9.1708922e+05,-3.4213738e+05
1.719059e+01,17,3.8180588e+03,1.6512997e+07,1.3882390e+07,2.2654389e+07,-3.4147710e+05,1.5083495e+06,2.6690254e+05
1.719163e+01,17,3.7991817e+03,1.3438457e+07,1.4243253e+07,2.2951365e+07,1.2667826e+05,1.0675821e+06,-6.3949518e+05
1.721911e+01,17,3.7867033e+03,1.5080073e+07,1.8368586e+07,2.4565399e+07,-1.2659041e+06,-1.6200995e+05,-1.9284312e+04
1.736976e+01,17,3.8088062e+03,1.5597350e+07,1.9427432e+07,2.5339626e+07,9.6536403e+05,8.1195198e+04,4.3002321e+04
1.738261e+01,13,3.7578016e+03,1.3009711e+07,1.6701812e+07,2.4511674e+07,-1.0306675e+06,-5.6900276e+05,-4.6794401e+05
1.743356e+01,16,3.7826858e+03,1.1920061e+07,1.1031373e+07,2.2100139e+07,-4.3661198e+05,9.8721557e+05,-3.6465104e+05
1.747042e+01,17,3.6742665e+03,1.3173254e+07,1.5507684e+07,2.3770329e+07,1.5576876e+05,1.9316315e+05,1.2257154e+05
1.750598e+01,16,3.3697271e+03,1.2169130e+07,1.3409361e+07,2.0302712e+07,-4.8727172e+05,-8.9996690e+05,1.7471665e+05
1.750857e+01,15,3.5876072e+03,1.4202818e+07,1.6792013e+07,2.1846575e+07,3.1798678e+05,1.6278825e+06,3.7502688e+04
