xcen,ycen,depth,radius,dP_mu
4.2645950e+05,4.5188350e+06,2.9220864e+03,7.9945264e+02,3.7607800e-03
4.2646328e+05,4.5189552e+06,2.8920267e+03,7.4898586e+02,3.9757833e-03
4.2646311e+05,4.5189618e+06,2.9219591e+03,7.6099947e+02,3.9327075e-03
4.2693826e+05,4.5179499e+06,5.8091566e+03,2.5019115e+03,2.7701273e-04
4.2641624e+05,4.5187929e+06,2.9909105e+03,8.1031593e+02,3.7185730e-03
4.2643234e+05,4.5189298e+06,2.9939487e+03,7.7042898e+02,3.9579267e-03
4.2686956e+05,4.5179299e+06,5.8269604e+03,2.5038868e+03,2.8164612e-04
4.2696635e+05,4.5179798e+06,5.7752040e+03,2.4350050e+03,2.9722548e-04
4.2707491e+05,4.5180085e+06,5.7478095e+03,2.4551781e+03,2.8885354e-04
4.2655173e+05,4.5189583e+06,2.7119347e+03,7.4433430e+02,3.9556257e-03
4.2702609e+05,4.5177234e+06,5.7578594e+03,2.4796930e+03,3.0510096e-04
4.2655272e+05,4.5189499e+06,2.6894568e+03,7.3727541e+02,3.9746489e-03
4.2646340e+05,4.5188413e+06,2.9128611e+03,7.9661284e+02,3.7711655e-03
4.2645571e+05,4.5188549e+06,2.9126780e+03,7.8483128e+02,3.8218693e-03
4.2647532e+05,4.5189602e+06,2.8902633e+03,7.5776529e+02,3.9384252e-03
4.2695043e+05,4.5179344e+06,5.7969819e+03,2.4840944e+03,2.8465990e-04
4.2642797e+05,4.5188061e+06,2.9664536e+03,8.0488298e+02,3.7376986e-03
4.2648361e+05,4.5189331e+06,2.8640243e+03,7.5851926e+02,3.9512226e-03
4.2679486e+05,4.5178673e+06,5.8546301e+03,2.5232593e+03,2.8132206e-04
4.2683459e+05,4.5179637e+06,5.8002946e+03,2.3866135e+03,3.1372223e-04
4.2707153e+05,4.5180076e+06,5.7486634e+03,2.4545493e+03,2.8911450e-04
4.2649346e+05,4.5189071e+06,2.8361963e+03,7.6627205e+02,3.8868903e-03
4.2694465e+05,4.5177741e+06,5.7919419e+03,2.4950370e+03,2.9672607e-04
4.2653178e+05,4.5189392e+06,2.7427240e+03,7.4673868e+02,3.9471020e-03
4.2646432e+05,4.5188426e+06,2.9105687e+03,7.9594084e+02,3.7735360e-03
4.2645391e+05,4.5188339e+06,2.9187124e+03,7.9294261e+02,3.7875566e-03
4.2646752e+05,4.5188807e+06,2.9023104e+03,7.8269562e+02,3.8297985e-03
4.2687804e+05,4.5178927e+06,5.8255201e+03,2.5018521e+03,2.8218423e-04
4.2642873e+05,4.5188079e+06,2.9651128e+03,8.0427589e+02,3.7404292e-03
4.2647183e+05,4.5188923e+06,2.8927680e+03,7.7724489e+02,3.8582479e-03
4.2679486e+05,4.5178673e+06,5.8546301e+03,2.5232593e+03,2.8132206e-04
4.2673809e+05,4.5179638e+06,5.8135895e+03,2.3362841e+03,3.2974969e-04
4.2697842e+05,4.5178787e+06,5.7818567e+03,2.4819558e+03,2.9181290e-04
4.2649525e+05,4.5189019e+06,2.8308604e+03,7.6711158e+02,3.8818043e-03
4.2693693e+05,4.5177878e+06,5.7958333e+03,2.4958268e+03,2.9504080e-04
4.2650608e+05,4.5189095e+06,2.8028888e+03,7.6117511e+02,3.8999062e-03
4.2647219e+05,4.5188575e+06,2.8832810e+03,7.8620955e+02,3.8070260e-03
4.2645436e+05,4.5188351e+06,2.9168976e+03,7.9240112e+02,3.7888140e-03
4.2646497e+05,4.5188639e+06,2.9008936e+03,7.8512641e+02,3.8178746e-03
4.2689049e+05,4.5178706e+06,5.8192448e+03,2.5005785e+03,2.8490191e-04
4.2645808e+05,4.5188453e+06,2.9017727e+03,7.8788831e+02,3.7992931e-03
4.2646072e+05,4.5188571e+06,2.9090793e+03,7.8665534e+02,3.8166059e-03
4.2677759e+05,4.5178966e+06,5.8421448e+03,2.4663780e+03,2.9605464e-04
4.2677434e+05,4.5179257e+06,5.8075663e+03,2.3592985e+03,3.2605950e-04
4.2696816e+05,4.5178793e+06,5.7862870e+03,2.4840379e+03,2.9088914e-04
4.2648570e+05,4.5188649e+06,2.8421589e+03,7.7639137e+02,3.8387309e-03
4.2692744e+05,4.5177607e+06,5.7960285e+03,2.4936314e+03,2.9858823e-04
4.2649859e+05,4.5189007e+06,2.8205414e+03,7.6560710e+02,3.8845369e-03
4.2646030e+05,4.5188378e+06,2.9043444e+03,7.9141474e+02,3.7892861e-03
4.2643525e+05,4.5187844e+06,2.9460077e+03,8.0553233e+02,3.7344413e-03
4.2647430e+05,4.5188609e+06,2.8717479e+03,7.8139913e+02,3.8246156e-03
4.2683961e+05,4.5178897e+06,5.8117976e+03,2.4336043e+03,3.0513959e-04
4.2645901e+05,4.5188495e+06,2.8985699e+03,7.8640163e+02,3.8038762e-03
4.2646267e+05,4.5188571e+06,2.9046850e+03,7.8657941e+02,3.8149741e-03
4.2675129e+05,4.5179236e+06,5.8213858e+03,2.3777468e+03,3.2068927e-04
4.2669768e+05,4.5179512e+06,5.8154631e+03,2.3073865e+03,3.4014506e-04
4.2695659e+05,4.5178649e+06,5.7887924e+03,2.4827137e+03,2.9257258e-04
4.2649128e+05,4.5188652e+06,2.8263509e+03,7.7404039e+02,3.8443442e-03
4.2674255e+05,4.5178753e+06,5.8239483e+03,2.3849174e+03,3.2279776e-04
4.2646777e+05,4.5188602e+06,2.8827307e+03,7.8225550e+02,3.8212081e-03
4.2645826e+05,4.5188381e+06,2.9051855e+03,7.9071566e+02,3.7904290e-03
4.2644874e+05,4.5188091e+06,2.9194762e+03,7.9736058e+02,3.7646765e-03
4.2645745e+05,4.5188298e+06,2.9035562e+03,7.9136138e+02,3.7871814e-03
4.2667542e+05,4.5179524e+06,5.8127977e+03,2.3183119e+03,3.5367038e-04
4.2645195e+05,4.5188403e+06,2.9113784e+03,7.8989400e+02,3.7893130e-03
4.2645980e+05,4.5188328e+06,2.8988042e+03,7.9006198e+02,3.7927142e-03
4.2659086e+05,4.5179694e+06,5.8468557e+03,2.2957208e+03,3.4266097e-04
4.2633088e+05,4.5182193e+06,5.5601859e+03,1.8067793e+03,7.3121429e-04
4.2679908e+05,4.5179099e+06,5.8137977e+03,2.4021842e+03,3.1414342e-04
4.2649643e+05,4.5188643e+06,2.8163407e+03,7.7331131e+02,3.8469345e-03
4.2665129e+05,4.5179310e+06,5.7771395e+03,2.2723789e+03,4.0140761e-04
4.2647477e+05,4.5188611e+06,2.8664905e+03,7.8009052e+02,3.8274057e-03
4.2645641e+05,4.5188382e+06,2.9067478e+03,7.9048884e+02,3.7899957e-03
4.2646661e+05,4.5188278e+06,2.8805466e+03,7.8871160e+02,3.7939403e-03
4.2646548e+05,4.5188199e+06,2.8909908e+03,7.9204182e+02,3.7886595e-03
4.2654519e+05,4.5180310e+06,5.7568045e+03,2.1686550e+03,4.5405914e-04
4.2645352e+05,4.5188330e+06,2.9067507e+03,7.9026626e+02,3.7882694e-03
4.2648875e+05,4.5188494e+06,2.8308970e+03,7.7740010e+02,3.8334319e-03
4.2658686e+05,4.5179748e+06,5.8389758e+03,2.2846019e+03,3.5240884e-04
4.2617694e+05,4.5183632e+06,5.3984611e+03,1.5258640e+03,9.5263212e-04
4.2679607e+05,4.5179081e+06,5.8143383e+03,2.4012646e+03,3.1460430e-04
4.2650146e+05,4.5188644e+06,2.8046153e+03,7.7184194e+02,3.8510188e-03
4.2661205e+05,4.5179680e+06,5.7696187e+03,2.2340170e+03,4.2088059e-04
4.2647700e+05,4.5188437e+06,2.8606043e+03,7.8285177e+02,3.8169195e-03
4.2646814e+05,4.5188424e+06,2.8795559e+03,7.8599367e+02,3.8043457e-03
4.2648054e+05,4.5188165e+06,2.8503439e+03,7.8781806e+02,3.7954637e-03
4.2650824e+05,4.5188394e+06,2.7926962e+03,7.7571955e+02,3.8392868e-03
4.2646465e+05,4.5181069e+06,5.7413688e+03,2.0899217e+03,4.9402514e-04
4.2647767e+05,4.5188415e+06,2.8556275e+03,7.8225741e+02,3.8167140e-03
4.2648875e+05,4.5188494e+06,2.8308970e+03,7.7740010e+02,3.8334319e-03
4.2636336e+05,4.5181831e+06,5.6250004e+03,1.8972034e+03,6.5100964e-04
4.2634316e+05,4.5186775e+06,3.8407011e+03,1.0344115e+03,2.6975158e-03
4.2679607e+05,4.5179081e+06,5.8143383e+03,2.4012646e+03,3.1460430e-04
4.2652113e+05,4.5188669e+06,2.7590091e+03,7.6576218e+02,3.8684232e-03
4.2653998e+05,4.5180356e+06,5.7557777e+03,2.1635988e+03,4.5668938e-04
4.2649370e+05,4.5188497e+06,2.8205975e+03,7.7627807e+02,3.8368885e-03
4.2648475e+05,4.5188551e+06,2.7864831e+03,7.6364002e+02,3.9013899e-03
4.2648092e+05,4.5188201e+06,2.8445051e+03,7.8560746e+02,3.8051486e-03
4.2651158e+05,4.5188390e+06,2.7854889e+03,7.7491028e+02,3.8419752e-03
