xcen,ycen,depth,dVol
4.2649151e+05,4.5185899e+06,2.9303541e+03,6.0111256e+06
4.2645692e+05,4.5186004e+06,2.9262805e+03,6.1113197e+06
4.2646040e+05,4.5185714e+06,2.8913703e+03,6.0211857e+06
4.2648258e+05,4.5185843e+06,2.9297637e+03,6.0204991e+06
4.2648334e+05,4.5185836e+06,2.9230935e+03,6.0158636e+06
4.2646126e+05,4.5185754e+06,2.9091606e+03,6.0469710e+06
4.2648921e+05,4.5185886e+06,2.9247396e+03,6.0162808e+06
4.2649091e+05,4.5185823e+06,2.8886753e+03,5.9886771e+06
4.2645697e+05,4.5185679e+06,2.9171237e+03,6.0328287e+06
4.2646593e+05,4.5185841e+06,2.9380287e+03,6.0574654e+06
4.2649107e+05,4.5185954e+06,2.9333329e+03,6.0265984e+06
4.2646187e+05,4.5185996e+06,2.9251694e+03,6.0999247e+06
4.2645824e+05,4.5185727e+06,2.9030687e+03,6.0309090e+06
4.2647307e+05,4.5185836e+06,2.9247051e+03,6.0386931e+06
4.2646704e+05,4.5185774e+06,2.9092089e+03,6.0302668e+06
4.2645628e+05,4.5185700e+06,2.9014467e+03,6.0413342e+06
4.2647645e+05,4.5185797e+06,2.9183325e+03,6.0196483e+06
4.2647539e+05,4.5185843e+06,2.9021531e+03,6.0312442e+06
4.2645551e+05,4.5185767e+06,2.9278886e+03,6.0544384e+06
4.2644679e+05,4.5185697e+06,2.9130272e+03,6.0475876e+06
4.2646826e+05,4.5185872e+06,2.9320977e+03,6.0538304e+06
4.2645754e+05,4.5185897e+06,2.9260062e+03,6.0822870e+06
4.2643870e+05,4.5185633e+06,2.8987826e+03,6.0384629e+06
4.2646793e+05,4.5185823e+06,2.9240505e+03,6.0426823e+06
4.2645986e+05,4.5185747e+06,2.9148748e+03,6.0396484e+06
4.2646106e+05,4.5185818e+06,2.9175917e+03,6.0571034e+06
4.2647092e+05,4.5185771e+06,2.9142009e+03,6.0245210e+06
4.2647857e+05,4.5185928e+06,2.9095206e+03,6.0457892e+06
4.2644278e+05,4.5185882e+06,2.9358933e+03,6.1054821e+06
4.2645520e+05,4.5185724e+06,2.9094540e+03,6.0369880e+06
4.2646906e+05,4.5186022e+06,2.9396148e+03,6.0791921e+06
4.2645342e+05,4.5185876e+06,2.9386191e+03,6.0896123e+06
4.2645088e+05,4.5185813e+06,2.9188681e+03,6.0646161e+06
4.2646374e+05,4.5185883e+06,2.9165835e+03,6.0597412e+06
4.2646100e+05,4.5185780e+06,2.9132261e+03,6.0449938e+06
4.2645464e+05,4.5185901e+06,2.9274981e+03,6.0942081e+06
4.2646837e+05,4.5185806e+06,2.9205648e+03,6.0359377e+06
4.2647429e+05,4.5185875e+06,2.9146055e+03,6.0412547e+06
4.2643770e+05,4.5185906e+06,2.9448509e+03,6.1227247e+06
4.2646296e+05,4.5185916e+06,2.9308159e+03,6.0645486e+06
4.2646287e+05,4.5186036e+06,2.9424949e+03,6.0873462e+06
4.2645605e+05,4.5185813e+06,2.9177123e+03,6.0376681e+06
4.2644002e+05,4.5185619e+06,2.8931362e+03,6.0077251e+06
4.2645495e+05,4.5185677e+06,2.8766907e+03,5.9821971e+06
4.2646302e+05,4.5185802e+06,2.9108103e+03,6.0452678e+06
4.2644674e+05,4.5185995e+06,2.9411841e+03,6.1371789e+06
4.2645746e+05,4.5185879e+06,2.9296323e+03,6.0783981e+06
4.2646457e+05,4.5185938e+06,2.9280829e+03,6.0743119e+06
4.2644950e+05,4.5185856e+06,2.9272558e+03,6.0795523e+06
4.2644890e+05,4.5185922e+06,2.9346173e+03,6.0349666e+06
4.2646021e+05,4.5185863e+06,2.9041343e+03,6.0253455e+06
4.2635276e+05,4.5185620e+06,2.9211728e+03,5.9615692e+06
4.2644144e+05,4.5185583e+06,2.8746495e+03,5.9643832e+06
4.2645890e+05,4.5185722e+06,2.8703787e+03,5.9714446e+06
4.2645971e+05,4.5185854e+06,2.9222682e+03,6.0486315e+06
4.2645076e+05,4.5185893e+06,2.9274656e+03,6.0477775e+06
4.2646456e+05,4.5185793e+06,2.9196657e+03,6.0326085e+06
4.2640804e+05,4.5185738e+06,2.9203286e+03,6.0120351e+06
4.2645577e+05,4.5185776e+06,2.8977700e+03,6.0169711e+06
4.2642001e+05,4.5185913e+06,2.9413598e+03,6.0211389e+06
4.2643069e+05,4.5185963e+06,2.9092194e+03,6.0130846e+06
