xcen,ycen,depth,radius,dP_mu
4.2615791e+05,4.5186885e+06,3.8082630e+03,9.5980849e+02,3.7019644e-03
4.2615579e+05,4.5186768e+06,3.7959582e+03,9.6166369e+02,3.6337701e-03
4.2865043e+05,4.5188226e+06,5.3222932e+03,2.6971062e+03,1.6281329e-04
4.2616276e+05,4.5186767e+06,3.8416296e+03,9.7663790e+02,3.5654714e-03
4.2615967e+05,4.5186740e+06,3.8250447e+03,9.7384894e+02,3.5520771e-03
4.2862709e+05,4.5188341e+06,5.3300650e+03,2.7083406e+03,1.5716052e-04
4.2860309e+05,4.5191330e+06,5.2898501e+03,2.6710392e+03,1.5477477e-04
4.2864262e+05,4.5189299e+06,5.3079357e+03,2.6835131e+03,1.6145972e-04
4.2615942e+05,4.5186579e+06,3.8564638e+03,9.9164678e+02,3.3769602e-03
4.2867096e+05,4.5185838e+06,5.3558213e+03,2.7270354e+03,1.6216687e-04
4.2615979e+05,4.5186706e+06,3.8471004e+03,9.8067973e+02,3.5009933e-03
4.2616179e+05,4.5186790e+06,3.8407883e+03,9.7087035e+02,3.5929808e-03
4.2615728e+05,4.5186834e+06,3.8084662e+03,9.6249304e+02,3.6612807e-03
4.2615536e+05,4.5186694e+06,3.8070672e+03,9.6925542e+02,3.5526068e-03
4.2864580e+05,4.5188317e+06,5.3230881e+03,2.6983544e+03,1.6118542e-04
4.2616252e+05,4.5186739e+06,3.8352482e+03,9.7792458e+02,3.5352777e-03
4.2616492e+05,4.5186771e+06,3.8188298e+03,9.7537306e+02,3.5461291e-03
4.2862216e+05,4.5188037e+06,5.3370862e+03,2.7162179e+03,1.5579646e-04
4.2861549e+05,4.5190517e+06,5.2983457e+03,2.6778651e+03,1.5687973e-04
4.2864232e+05,4.5189280e+06,5.3083652e+03,2.6839949e+03,1.6137628e-04
4.2615707e+05,4.5186499e+06,3.8465887e+03,9.9529379e+02,3.3189421e-03
4.2869378e+05,4.5183913e+06,5.3794706e+03,2.7472674e+03,1.6434235e-04
4.2615961e+05,4.5186689e+06,3.8529281e+03,9.8277650e+02,3.4826455e-03
4.2616154e+05,4.5186800e+06,3.8290174e+03,9.6983539e+02,3.6011296e-03
4.2615835e+05,4.5186851e+06,3.8107514e+03,9.6282569e+02,3.6674898e-03
4.2615536e+05,4.5186694e+06,3.8070672e+03,9.6925542e+02,3.5526068e-03
4.2867007e+05,4.5184922e+06,5.3701863e+03,2.7424333e+03,1.6300209e-04
4.2616621e+05,4.5186681e+06,3.8494515e+03,9.8748141e+02,3.4541854e-03
4.2616285e+05,4.5186735e+06,3.8197827e+03,9.7638121e+02,3.5257985e-03
4.2861195e+05,4.5188338e+06,5.3360890e+03,2.7167748e+03,1.5389785e-04
4.2863866e+05,4.5188562e+06,5.3223583e+03,2.6984079e+03,1.5908864e-04
4.2864232e+05,4.5189280e+06,5.3083652e+03,2.6839949e+03,1.6137628e-04
4.2615898e+05,4.5186577e+06,3.8377436e+03,9.8905324e+02,3.3871981e-03
4.2868651e+05,4.5184151e+06,5.3777007e+03,2.7469369e+03,1.6403038e-04
4.2616483e+05,4.5186749e+06,3.8147456e+03,9.7594653e+02,3.5276283e-03
4.2616311e+05,4.5186833e+06,3.8245504e+03,9.6782686e+02,3.6244104e-03
4.2615947e+05,4.5186711e+06,3.8220420e+03,9.7614565e+02,3.5259387e-03
4.2615858e+05,4.5186607e+06,3.8229768e+03,9.8316030e+02,3.4311128e-03
4.2867198e+05,4.5183663e+06,5.3896422e+03,2.7622978e+03,1.6340372e-04
4.2616839e+05,4.5186588e+06,3.8505060e+03,9.9680968e+02,3.3552579e-03
4.2616727e+05,4.5186806e+06,3.7957440e+03,9.7064036e+02,3.5779686e-03
4.2864547e+05,4.5184536e+06,5.3853252e+03,2.7621121e+03,1.5887553e-04
4.2864940e+05,4.5186590e+06,5.3505909e+03,2.7256686e+03,1.6008162e-04
4.2865475e+05,4.5186572e+06,5.3490757e+03,2.7231689e+03,1.6074491e-04
4.2615898e+05,4.5186500e+06,3.8334335e+03,9.9499778e+02,3.3137492e-03
4.2869833e+05,4.5183296e+06,5.3876028e+03,2.7550114e+03,1.6526637e-04
4.2616885e+05,4.5186762e+06,3.8181624e+03,9.7799820e+02,3.5091746e-03
4.2616192e+05,4.5186708e+06,3.8269465e+03,9.7836317e+02,3.5064828e-03
4.2615844e+05,4.5186706e+06,3.8209212e+03,9.7571277e+02,3.5286293e-03
4.2616058e+05,4.5186600e+06,3.8268186e+03,9.8619502e+02,3.4097055e-03
4.2869039e+05,4.5180844e+06,5.4283607e+03,2.7993056e+03,1.6619006e-04
4.2617574e+05,4.5186420e+06,3.8770655e+03,1.0205307e+03,3.1513069e-03
4.2616978e+05,4.5186831e+06,3.7806167e+03,9.6897581e+02,3.5899982e-03
4.2864547e+05,4.5184536e+06,5.3853252e+03,2.7621121e+03,1.5887553e-04
4.2866123e+05,4.5185406e+06,5.3655970e+03,2.7391266e+03,1.6158868e-04
4.2866312e+05,4.5185020e+06,5.3709891e+03,2.7444688e+03,1.6206137e-04
4.2616405e+05,4.5186587e+06,3.8334519e+03,9.9143472e+02,3.3727440e-03
4.2869828e+05,4.5183282e+06,5.3878403e+03,2.7552694e+03,1.6527176e-04
4.2617710e+05,4.5186670e+06,3.8464068e+03,9.9631701e+02,3.3690065e-03
4.2616527e+05,4.5186612e+06,3.8342286e+03,9.8975612e+02,3.3957405e-03
4.2615780e+05,4.5186738e+06,3.8191557e+03,9.7257489e+02,3.5642294e-03
4.2616209e+05,4.5186628e+06,3.8212529e+03,9.8428843e+02,3.4318265e-03
4.2867692e+05,4.5176687e+06,5.4974733e+03,2.8744147e+03,1.6775635e-04
4.2617357e+05,4.5186450e+06,3.8684007e+03,1.0151299e+03,3.1923802e-03
4.2617005e+05,4.5186615e+06,3.8291893e+03,9.9301961e+02,3.3796664e-03
4.2854845e+05,4.5178462e+06,5.5127150e+03,2.9127040e+03,1.5078519e-04
4.2866096e+05,4.5185377e+06,5.3661583e+03,2.7397540e+03,1.6154565e-04
4.2862817e+05,4.5182537e+06,5.4221822e+03,2.8039019e+03,1.5826544e-04
4.2616830e+05,4.5186524e+06,3.8478461e+03,1.0022016e+03,3.2782360e-03
4.2869534e+05,4.5182375e+06,5.4029144e+03,2.7716515e+03,1.6561338e-04
4.2617412e+05,4.5186664e+06,3.8272710e+03,9.8851653e+02,3.4510075e-03
4.2616640e+05,4.5186589e+06,3.8352824e+03,9.9269920e+02,3.3635749e-03
4.2616257e+05,4.5186688e+06,3.8171851e+03,9.8037763e+02,3.4904294e-03
4.2617738e+05,4.5186533e+06,3.8577239e+03,9.9929830e+02,3.3757457e-03
4.2866840e+05,4.5174056e+06,5.5412151e+03,2.9219517e+03,1.6874766e-04
4.2617524e+05,4.5186537e+06,3.8556058e+03,1.0060727e+03,3.2884198e-03
4.2616662e+05,4.5186683e+06,3.7994778e+03,9.8220992e+02,3.4735867e-03
