func,iter,xcen,ycen,depth,Pxx,Pyy,Pzz
1.907033e+01,13,4.2623464e+05,4.5184625e+06,3.7268597e+03,1.5154456e+07,1.7071933e+07,2.5015664e+07
1.908569e+01,13,4.2628243e+05,4.5185531e+06,4.0913968e+03,1.6367642e+07,2.2603055e+07,2.7087263e+07
1.909146e+01,12,4.2638216e+05,4.5184339e+06,3.4857668e+03,1.6797618e+07,1.9057168e+07,2.3004776e+07
1.913318e+01,13,4.2626889e+05,4.5185976e+06,3.8870476e+03,1.5580964e+07,2.2559736e+07,2.7580190e+07
1.918361e+01,13,4.2640011e+05,4.5184503e+06,3.8667582e+03,1.7470452e+07,2.0843852e+07,2.5913515e+07
1.925193e+01,11,4.2613495e+05,4.5186490e+06,3.7097371e+03,2.0015324e+07,1.7258351e+07,2.4004273e+07
1.926754e+01,13,4.2630786e+05,4.5186887e+06,3.9616691e+03,2.0205825e+07,2.4087244e+07,2.8528153e+07
1.928652e+01,12,4.2638369e+05,4.5184986e+06,3.6951361e+03,1.4677602e+07,1.9689820e+07,2.2731863e+07
1.929626e+01,12,4.2617015e+05,4.5186026e+06,4.1517585e+03,1.5165212e+07,1.7276235e+07,2.8409034e+07
1.930930e+01,13,4.2618396e+05,4.5187513e+06,3.6752379e+03,1.6053176e+07,1.9806782e+07,2.2325215e+07
1.934156e+01,11,4.2617788e+05,4.5185099e+06,3.8478591e+03,9.2775043e+06,1.1899821e+07,2.1701324e+07
1.938274e+01,13,4.2603512e+05,4.5185815e+06,3.6953730e+03,1.8805607e+07,2.3049439e+07,2.5827155e+07
1.938909e+01,13,4.2615418e+05,4.5184570e+06,3.6765646e+03,1.4889827e+07,2.1083428e+07,2.2812207e+07
1.947458e+01,12,4.2628482e+05,4.5185960e+06,3.8409954e+03,2.2327017e+07,2.5710799e+07,2.7079575e+07
1.949800e+01,13,4.2613524e+05,4.5185966e+06,4.1654612e+03,1.2293564e+07,1.7721602e+07,2.7975596e+07
1.953854e+01,13,4.2619607e+05,4.5186124e+06,3.9205164e+03,1.7533724e+07,1.9013401e+07,2.4345950e+07
1.956417e+01,13,4.2620081e+05,4.5186822e+06,4.1160344e+03,1.9266488e+07,2.0925452e+07,2.8337471e+07
1.960540e+01,13,4.2607797e+05,4.5186257e+06,3.6722085e+03,1.3085055e+07,2.1188619e+07,2.4075468e+07
1.960544e+01,13,4.2607668e+05,4.5184803e+06,3.9270322e+03,1.4757539e+07,1.8602857e+07,2.4236060e+07
1.963819e+01,12,4.2621800e+05,4.5186229e+06,3.9326570e+03,1.5153142e+07,1.5338173e+07,2.3242890e+07
1.965329e+01,13,4.2650270e+05,4.5187937e+06,3.6470781e+03,1.5708666e+07,1.8590115e+07,2.3887769e+07
1.969608e+01,13,4.2632769e+05,4.5186803e+06,4.2360385e+03,1.3090282e+07,1.3782371e+07,2.6317239e+07
1.969764e+01,10,4.2617668e+05,4.5185551e+06,3.8061558e+03,1.8778867e+07,2.0251438e+07,2.3901717e+07
1.970160e+01,13,4.2619296e+05,4.5185772e+06,3.9991253e+03,1.8405628e+07,2.1258319e+07,2.8893780e+07
1.973004e+01,13,4.2613993e+05,4.5185659e+06,3.8825910e+03,2.2012749e+07,2.1626470e+07,2.6773755e+07
1.973183e+01,13,4.2616736e+05,4.5186107e+06,4.1668188e+03,1.9006720e+07,2.0053606e+07,2.8243615e+07
