depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.2273490e+03,2.3073704e+07,3.2806720e+07,3.0865513e+07,-8.3505047e+06,-2.7988295e+06,2.0987760e+06
4.2389840e+03,2.3400466e+07,3.2661820e+07,3.1053226e+07,-8.2870064e+06,-2.8899777e+06,2.1325476e+06
4.0287782e+03,2.3891713e+07,3.0783165e+07,2.9495730e+07,-7.6496132e+06,-3.2032648e+06,2.1247763e+06
4.0546806e+03,2.3659135e+07,3.0251434e+07,2.9465315e+07,-7.8252684e+06,-3.2516872e+06,2.1359087e+06
4.1148676e+03,2.3229057e+07,3.0654569e+07,2.9827327e+07,-7.8878681e+06,-2.9071011e+06,2.3200500e+06
4.0290948e+03,2.2901032e+07,3.0102220e+07,2.8857913e+07,-8.1757534e+06,-3.1852316e+06,1.9589497e+06
4.1671065e+03,2.3424447e+07,3.1627180e+07,3.0394616e+07,-8.0011562e+06,-2.8734278e+06,2.2193824e+06
3.9925562e+03,2.2708498e+07,2.8318177e+07,2.8244278e+07,-7.8619841e+06,-3.0065510e+06,2.2861757e+06
4.1108061e+03,2.3446657e+07,3.0576496e+07,2.9751925e+07,-8.0246558e+06,-3.1194667e+06,2.0914692e+06
4.0093297e+03,2.3503897e+07,2.8994095e+07,2.8711922e+07,-7.6399890e+06,-3.0656094e+06,2.1471346e+06
4.1298096e+03,2.3548915e+07,3.1121270e+07,3.0085035e+07,-8.0014857e+06,-3.1007086e+06,2.1276658e+06
4.0976212e+03,2.3384884e+07,3.0757184e+07,2.9739001e+07,-7.9178890e+06,-3.0362442e+06,2.1693776e+06
3.9819990e+03,2.2462297e+07,2.7921812e+07,2.8003722e+07,-7.8182251e+06,-2.8927647e+06,2.3476569e+06
3.9764189e+03,2.3483763e+07,3.0381048e+07,2.8868832e+07,-7.7080586e+06,-3.2117129e+06,1.9870896e+06
4.1433513e+03,2.3357040e+07,3.1401390e+07,3.0130359e+07,-8.0707049e+06,-2.9830448e+06,2.1275801e+06
