xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
4.2623317e+05,4.5188660e+06,2.7683940e+03,2.1040515e+03,1.5765055e-03,6.3581381e+01,2.2543963e+01
4.2625921e+05,4.5188656e+06,2.6893905e+03,2.0798923e+03,1.6077984e-03,6.4171160e+01,2.3348624e+01
4.2624629e+05,4.5188812e+06,2.7367990e+03,2.0965734e+03,1.5842700e-03,6.4665138e+01,2.2658595e+01
4.2626357e+05,4.5189246e+06,2.6536966e+03,2.0826858e+03,1.5396530e-03,6.5253725e+01,2.3638513e+01
4.2623980e+05,4.5188529e+06,2.6998478e+03,2.0823185e+03,1.6250456e-03,6.3487113e+01,2.2986381e+01
4.2624385e+05,4.5188662e+06,2.7149949e+03,2.0929941e+03,1.5810909e-03,6.4437869e+01,2.2957948e+01
4.2622634e+05,4.5188422e+06,2.7662118e+03,2.0932679e+03,1.6291331e-03,6.0957753e+01,2.2603937e+01
4.2623922e+05,4.5188425e+06,2.6616111e+03,2.0866798e+03,1.5846380e-03,6.5741437e+01,2.3130726e+01
4.2624680e+05,4.5188751e+06,2.6806863e+03,2.0989515e+03,1.5360228e-03,6.7110395e+01,2.2972572e+01
4.2625631e+05,4.5188486e+06,2.6648160e+03,2.0881564e+03,1.5659373e-03,6.6549968e+01,2.3329859e+01
4.2625626e+05,4.5188647e+06,2.6606502e+03,2.0841045e+03,1.5679609e-03,6.5905831e+01,2.3562571e+01
4.2625309e+05,4.5188863e+06,2.6549008e+03,2.0912356e+03,1.5329053e-03,6.6803450e+01,2.3446439e+01
4.2624040e+05,4.5188844e+06,2.6729740e+03,2.0928460e+03,1.5498162e-03,6.5807428e+01,2.3183441e+01
4.2622921e+05,4.5188795e+06,2.7212696e+03,2.0993649e+03,1.5625964e-03,6.4283941e+01,2.2814234e+01
4.2622855e+05,4.5188872e+06,2.7016937e+03,2.1049184e+03,1.5252355e-03,6.5173429e+01,2.2776415e+01
4.2624585e+05,4.5188969e+06,2.6595812e+03,2.0932151e+03,1.5406726e-03,6.7216709e+01,2.3074830e+01
4.2625584e+05,4.5188689e+06,2.6905903e+03,2.0941851e+03,1.5527680e-03,6.6641575e+01,2.3164497e+01
4.2625191e+05,4.5188639e+06,2.6740075e+03,2.0835680e+03,1.5876440e-03,6.5052614e+01,2.3303966e+01
4.2624733e+05,4.5188845e+06,2.7003407e+03,2.0953462e+03,1.5566990e-03,6.5794140e+01,2.3001455e+01
4.2627448e+05,4.5189341e+06,2.6433489e+03,2.0765138e+03,1.5461648e-03,6.5376414e+01,2.3859890e+01
4.2624623e+05,4.5188566e+06,2.6860664e+03,2.0825286e+03,1.6081326e-03,6.4310237e+01,2.3154705e+01
4.2625644e+05,4.5188922e+06,2.6743050e+03,2.0895018e+03,1.5484762e-03,6.5756719e+01,2.3328586e+01
4.2625825e+05,4.5188932e+06,2.6738385e+03,2.0838557e+03,1.5664809e-03,6.4981454e+01,2.3429392e+01
4.2624577e+05,4.5188635e+06,2.6612328e+03,2.0866760e+03,1.5704671e-03,6.5821662e+01,2.3251652e+01
4.2624199e+05,4.5188631e+06,2.6413014e+03,2.0923004e+03,1.5396026e-03,6.7156025e+01,2.3245564e+01
