xtlc,ytlc,dtlc,length,opening
4.2482624e+05,4.5195531e+06,3.5261693e+03,2.6592298e+03,1.3317314e+00
4.2485040e+05,4.5195050e+06,3.5273500e+03,2.6353462e+03,1.3566088e+00
4.2483652e+05,4.5195215e+06,3.5625548e+03,2.6821050e+03,1.3306961e+00
4.2482564e+05,4.5195368e+06,3.5686830e+03,2.6899186e+03,1.3268773e+00
4.2481541e+05,4.5195324e+06,3.5266212e+03,2.7099868e+03,1.3109010e+00
4.2481326e+05,4.5195285e+06,3.5398659e+03,2.7339024e+03,1.3055089e+00
4.2481904e+05,4.5195498e+06,3.5379317e+03,2.7248717e+03,1.3004667e+00
4.2487034e+05,4.5195465e+06,3.5063181e+03,2.6533624e+03,1.3252213e+00
4.2480787e+05,4.5195504e+06,3.5334682e+03,2.7424951e+03,1.2977483e+00
4.2480433e+05,4.5195376e+06,3.5318249e+03,2.6806906e+03,1.3244464e+00
4.2483301e+05,4.5195543e+06,3.5244965e+03,2.6458389e+03,1.3374314e+00
4.2483826e+05,4.5195181e+06,3.5345676e+03,2.6555856e+03,1.3451654e+00
4.2485958e+05,4.5194954e+06,3.5841759e+03,2.6252996e+03,1.3628221e+00
4.2484155e+05,4.5195166e+06,3.5879078e+03,2.6940336e+03,1.3349254e+00
4.2482842e+05,4.5195297e+06,3.5346525e+03,2.6853005e+03,1.3251115e+00
4.2480419e+05,4.5195309e+06,3.5426089e+03,2.7418051e+03,1.3036442e+00
4.2483600e+05,4.5195288e+06,3.5539201e+03,2.7069874e+03,1.3153605e+00
4.2486074e+05,4.5195330e+06,3.5133822e+03,2.6464865e+03,1.3361430e+00
4.2481236e+05,4.5195428e+06,3.5348282e+03,2.7092126e+03,1.3132487e+00
4.2481914e+05,4.5195434e+06,3.5250653e+03,2.6575913e+03,1.3324765e+00
4.2484249e+05,4.5195334e+06,3.5479126e+03,2.6502051e+03,1.3490933e+00
4.2484298e+05,4.5195211e+06,3.5169327e+03,2.6143656e+03,1.3625250e+00
4.2484804e+05,4.5195069e+06,3.6004016e+03,2.6035957e+03,1.3753959e+00
4.2485754e+05,4.5195070e+06,3.5635171e+03,2.6436895e+03,1.3596109e+00
4.2482664e+05,4.5195161e+06,3.5779026e+03,2.6543617e+03,1.3484520e+00
4.2481843e+05,4.5195292e+06,3.5563274e+03,2.7037723e+03,1.3199686e+00
4.2483004e+05,4.5195349e+06,3.5541922e+03,2.6700547e+03,1.3329364e+00
4.2486126e+05,4.5195280e+06,3.5302650e+03,2.6321642e+03,1.3457979e+00
4.2483711e+05,4.5194963e+06,3.5752447e+03,2.6823114e+03,1.3586838e+00
4.2483764e+05,4.5195409e+06,3.5230861e+03,2.6446164e+03,1.3388261e+00
4.2486727e+05,4.5195460e+06,3.5263810e+03,2.5852018e+03,1.3813467e+00
4.2484289e+05,4.5195218e+06,3.5305904e+03,2.6128637e+03,1.3633103e+00
4.2485102e+05,4.5195323e+06,3.5512249e+03,2.6151094e+03,1.3652301e+00
4.2486917e+05,4.5195102e+06,3.5671736e+03,2.6053313e+03,1.3735340e+00
4.2483745e+05,4.5195334e+06,3.5324698e+03,2.6300831e+03,1.3558444e+00
4.2481184e+05,4.5195286e+06,3.5576670e+03,2.7190631e+03,1.3116379e+00
4.2481877e+05,4.5195297e+06,3.5824838e+03,2.7033692e+03,1.3224961e+00
4.2486877e+05,4.5195266e+06,3.5350749e+03,2.6358459e+03,1.3439183e+00
4.2482910e+05,4.5195066e+06,3.5696693e+03,2.6939686e+03,1.3437614e+00
4.2485719e+05,4.5195364e+06,3.5392925e+03,2.6170410e+03,1.3640079e+00
4.2487078e+05,4.5195568e+06,3.5413132e+03,2.6112161e+03,1.3694368e+00
4.2485819e+05,4.5195182e+06,3.5245551e+03,2.5827556e+03,1.3767021e+00
4.2485788e+05,4.5195241e+06,3.5629944e+03,2.5895172e+03,1.3755007e+00
4.2490417e+05,4.5194756e+06,3.6158593e+03,2.5308988e+03,1.4280901e+00
4.2485151e+05,4.5195251e+06,3.5413975e+03,2.5850034e+03,1.3781152e+00
4.2481937e+05,4.5195368e+06,3.5538393e+03,2.6887024e+03,1.3288187e+00
4.2490046e+05,4.5195220e+06,3.5843281e+03,2.5087830e+03,1.4170435e+00
4.2485306e+05,4.5195322e+06,3.5370481e+03,2.6332897e+03,1.3545855e+00
4.2484826e+05,4.5195068e+06,3.5630530e+03,2.6789670e+03,1.3557895e+00
4.2486680e+05,4.5195450e+06,3.5771327e+03,2.6262011e+03,1.3661267e+00
4.2486654e+05,4.5195504e+06,3.5460430e+03,2.6107305e+03,1.3685818e+00
4.2486147e+05,4.5195245e+06,3.5448974e+03,2.5902999e+03,1.3761892e+00
4.2486540e+05,4.5195249e+06,3.5876183e+03,2.5758847e+03,1.3826555e+00
4.2493863e+05,4.5194854e+06,3.5761096e+03,2.4666016e+03,1.4558054e+00
