func,iter,xtlc,ytlc,dtlc,length,width,dip,opening
2.565386e+01,16,4.2509418e+05,4.5199461e+06,3.9954172e+03,2.0822742e+03,2.6349896e+03,2.3253259e+00,1.5667063e+00
2.566329e+01,16,4.2519855e+05,4.5198644e+06,3.7189025e+03,2.1694961e+03,2.5493916e+03,1.6359961e+00,1.3036926e+00
2.577141e+01,14,4.2542208e+05,4.5194525e+06,4.0416452e+03,1.3695643e+03,1.7476926e+03,2.5717031e+00,3.6701921e+00
2.579175e+01,15,4.2538891e+05,4.5200777e+06,4.0221194e+03,1.8442138e+03,3.1398913e+03,1.2579385e+00,1.6056050e+00
2.582400e+01,13,4.2521158e+05,4.5199820e+06,3.5175351e+03,2.1505062e+03,2.8281358e+03,3.5401632e+00,1.2310389e+00
2.584396e+01,16,4.2540490e+05,4.5197707e+06,3.6307699e+03,1.6388460e+03,2.4692159e+03,1.5312915e+00,1.6837209e+00
2.587306e+01,17,4.2523066e+05,4.5201213e+06,3.9140271e+03,2.0004084e+03,2.9097762e+03,1.7095139e+00,1.5091902e+00
2.589343e+01,16,4.2512708e+05,4.5198624e+06,3.8518802e+03,2.1661149e+03,2.5817000e+03,3.6821773e+00,1.4683550e+00
2.589925e+01,15,4.2500111e+05,4.5198690e+06,4.0436344e+03,2.2198440e+03,2.6316891e+03,2.0224138e+00,1.5292458e+00
2.593619e+01,17,4.2518987e+05,4.5199453e+06,4.0610883e+03,2.1663675e+03,2.5666391e+03,1.9909761e+00,1.5541956e+00
2.595297e+01,17,4.2540255e+05,4.5201443e+06,4.0466818e+03,1.8540291e+03,3.1837361e+03,1.2166603e-01,1.3721940e+00
2.600539e+01,15,4.2436298e+05,4.5190456e+06,3.5967679e+03,3.5750312e+03,5.2531661e+02,3.5042093e-01,3.7931458e+00
2.604221e+01,17,4.2534959e+05,4.5200249e+06,4.1095054e+03,2.0343465e+03,2.7274655e+03,3.5215671e-01,1.5437155e+00
2.605725e+01,17,4.2521051e+05,4.5200360e+06,3.7958662e+03,2.3172725e+03,2.8589337e+03,1.9163878e+00,1.2941958e+00
2.626761e+01,17,4.2560909e+05,4.5195135e+06,3.6886766e+03,1.1943572e+03,1.4164667e+03,2.1992952e+00,3.9532496e+00
2.627032e+01,17,4.2573383e+05,4.5196083e+06,4.0339857e+03,1.3059644e+03,1.7371878e+03,2.4966094e+00,3.6625789e+00
2.627833e+01,16,4.2513814e+05,4.5199202e+06,3.9661304e+03,2.2208609e+03,2.7155562e+03,3.0081954e+00,1.5127773e+00
2.627893e+01,17,4.2524308e+05,4.5196858e+06,3.5863183e+03,1.7675481e+03,2.4078181e+03,2.8409794e+00,1.7900753e+00
2.630604e+01,17,4.2563490e+05,4.5192566e+06,4.3509366e+03,1.4771087e+03,1.5276410e+03,1.9463714e-01,3.7374402e+00
2.632337e+01,17,4.2566493e+05,4.5192862e+06,3.9608997e+03,1.1810088e+03,1.6330832e+03,2.5831382e+00,3.9716325e+00
2.632844e+01,17,4.2497640e+05,4.5197182e+06,3.6543058e+03,2.0365146e+03,2.3706082e+03,3.1020900e-01,1.4826633e+00
2.633567e+01,17,4.2587267e+05,4.5195204e+06,3.7182950e+03,1.1604350e+03,1.6964141e+03,9.7997671e-01,3.7189006e+00
2.636511e+01,17,4.2506978e+05,4.5199724e+06,3.8551514e+03,2.3681946e+03,2.6855406e+03,2.9608102e+00,1.2758994e+00
2.643101e+01,7,4.2545388e+05,4.5199672e+06,4.2594792e+03,1.4236512e+03,3.0926189e+03,1.8628161e+00,2.0791217e+00
2.646740e+01,17,4.2519977e+05,4.5199906e+06,3.7405199e+03,1.8449699e+03,2.9785065e+03,3.8959015e+00,1.5456949e+00
2.647368e+01,16,4.2514277e+05,4.5202328e+06,3.7765864e+03,2.0760477e+03,3.1564588e+03,9.2560204e-01,1.3166630e+00
2.647496e+01,17,4.2448377e+05,4.5190186e+06,3.6411384e+03,3.1478230e+03,5.5094184e+02,5.5631746e-01,3.9986147e+00
2.649861e+01,17,4.2553608e+05,4.5194099e+06,3.7970755e+03,1.2408445e+03,1.6798816e+03,2.9258321e+00,3.9395105e+00
2.650076e+01,16,4.2513151e+05,4.5199907e+06,4.2646800e+03,2.0498902e+03,2.8991605e+03,5.4466268e-01,1.4850759e+00
2.650124e+01,16,4.2554893e+05,4.5193331e+06,4.4986347e+03,1.4029763e+03,1.6980691e+03,1.4594095e+00,3.8634696e+00
2.650208e+01,13,4.2541853e+05,4.5200160e+06,4.1276372e+03,1.6876545e+03,2.8846903e+03,2.8406799e+00,1.8798278e+00
2.654172e+01,17,4.2566315e+05,4.5199229e+06,4.1449412e+03,1.4032231e+03,3.0803673e+03,1.5029312e+00,2.0603192e+00
2.657396e+01,16,4.2503442e+05,4.5200191e+06,3.9621835e+03,2.3538341e+03,2.8856661e+03,2.5691629e+00,1.3501431e+00
2.661293e+01,15,4.2532561e+05,4.5199367e+06,3.8570037e+03,1.7991513e+03,3.0278381e+03,3.6829415e+00,1.6549460e+00
2.664543e+01,16,4.2510331e+05,4.5198881e+06,3.7903697e+03,2.2511711e+03,2.9133508e+03,3.5256737e+00,1.2681783e+00
2.666702e+01,16,4.2526320e+05,4.5200332e+06,3.7185408e+03,1.9651174e+03,2.4740966e+03,1.6686877e+00,1.5132179e+00
2.668169e+01,13,4.2552080e+05,4.5194201e+06,4.3775864e+03,1.5604045e+03,1.4185688e+03,2.4073603e-01,3.7900426e+00
2.671701e+01,16,4.2466690e+05,4.5189414e+06,3.6351689e+03,3.0862022e+03,5.4319699e+02,2.2899400e-01,3.9532732e+00
2.672786e+01,17,4.2569210e+05,4.5193784e+06,3.5263740e+03,1.1179967e+03,1.5054605e+03,2.6508696e+00,3.8949303e+00
2.677589e+01,17,4.2534000e+05,4.5200208e+06,3.5846392e+03,2.1119477e+03,2.4954064e+03,1.1509588e+00,1.3956792e+00
2.679331e+01,16,4.2519955e+05,4.5200719e+06,4.1897675e+03,1.8678087e+03,2.8509307e+03,8.5336226e-01,1.6422952e+00
2.685598e+01,17,4.2551543e+05,4.5193677e+06,4.2899294e+03,1.3328817e+03,1.5822924e+03,2.5991637e+00,3.9630059e+00
2.688170e+01,16,4.2529752e+05,4.5198150e+06,3.6056200e+03,1.6442073e+03,2.7496754e+03,1.3824339e+00,1.7561246e+00
2.689873e+01,14,4.2505558e+05,4.5200188e+06,3.6712198e+03,2.0813940e+03,2.5302313e+03,1.6254057e+00,1.3724713e+00
2.691475e+01,17,4.2456781e+05,4.5189308e+06,3.9774029e+03,3.2246155e+03,6.2042519e+02,1.3221616e-01,3.8064468e+00
2.693367e+01,16,4.2507880e+05,4.5200091e+06,3.6054263e+03,2.0741572e+03,2.9834850e+03,3.9009403e+00,1.2508596e+00
2.697505e+01,16,4.2520349e+05,4.5199062e+06,4.2113890e+03,2.1879042e+03,2.6278057e+03,1.9303935e+00,1.6259723e+00
2.699545e+01,14,4.2562309e+05,4.5199662e+06,4.2067618e+03,1.3600127e+03,3.0637312e+03,2.4313834e+00,2.1701144e+00
2.700372e+01,17,4.2525286e+05,4.5200110e+06,3.9296418e+03,1.9389609e+03,2.3733385e+03,3.8833592e-01,1.6771257e+00
2.705104e+01,16,4.2574336e+05,4.5194859e+06,3.6648434e+03,1.2868216e+03,1.4275785e+03,3.2421496e+00,3.9558356e+00
2.705878e+01,16,4.2512550e+05,4.5200263e+06,4.0839636e+03,2.0604912e+03,3.1247586e+03,2.8398545e+00,1.4248612e+00
2.706171e+01,17,4.2567897e+05,4.5192580e+06,3.9116566e+03,1.3099979e+03,1.6432214e+03,1.7315030e+00,3.5711569e+00
2.706767e+01,17,4.2509934e+05,4.5199820e+06,3.6300200e+03,2.1132193e+03,2.4534652e+03,1.9102774e+00,1.3464592e+00
2.712210e+01,17,4.2549724e+05,4.5193642e+06,4.2397247e+03,1.1697422e+03,1.8098066e+03,1.9437572e+00,3.9210262e+00
2.712416e+01,17,4.2542124e+05,4.5198288e+06,3.7842488e+03,1.9817464e+03,2.7223502e+03,1.9334387e+00,1.4740578e+00
2.716611e+01,17,4.2553280e+05,4.5200581e+06,4.0525656e+03,1.8032703e+03,3.2345586e+03,4.6626721e-01,1.4727945e+00
2.719783e+01,17,4.2563343e+05,4.5195351e+06,4.3219809e+03,1.4621134e+03,1.5475868e+03,6.4645635e-01,3.9806328e+00
2.722459e+01,16,4.2458155e+05,4.5189128e+06,3.6256041e+03,3.2470192e+03,5.5037933e+02,1.3896802e+00,3.9762459e+00
2.722568e+01,17,4.2579815e+05,4.5196087e+06,3.7489372e+03,1.2868574e+03,1.5931019e+03,3.2139326e-01,3.5939138e+00
2.724298e+01,14,4.2501467e+05,4.5200775e+06,4.2566882e+03,2.3565219e+03,3.1111372e+03,4.8704352e-01,1.2292067e+00
2.725036e+01,17,4.2523551e+05,4.5198696e+06,3.5649865e+03,2.2415560e+03,2.5312892e+03,2.0573732e+00,1.4256616e+00
2.727234e+01,16,4.2581194e+05,4.5193999e+06,3.8718454e+03,1.2029625e+03,1.5861364e+03,2.7812550e+00,3.9160279e+00
2.731907e+01,12,4.2490944e+05,4.5200064e+06,3.6933377e+03,2.3641550e+03,2.7082314e+03,2.1099322e+00,1.3064669e+00
2.732994e+01,16,4.2560701e+05,4.5197901e+06,4.1245217e+03,1.6061446e+03,2.5924246e+03,1.6436291e+00,2.2212644e+00
2.738229e+01,15,4.2545602e+05,4.5199854e+06,3.6740790e+03,1.9123325e+03,2.7238827e+03,3.0370757e+00,1.5348143e+00
2.743194e+01,17,4.2521850e+05,4.5197426e+06,3.4281528e+03,2.1404998e+03,2.5012226e+03,2.1489841e+00,1.2811777e+00
2.744012e+01,15,4.2548241e+05,4.5195843e+06,3.9235479e+03,1.2423164e+03,1.6378680e+03,2.0919050e+00,3.5507883e+00
2.748655e+01,14,4.2548278e+05,4.5195166e+06,3.6198775e+03,1.2418400e+03,1.4388774e+03,3.3644019e+00,3.9683821e+00
2.751344e+01,17,4.2546641e+05,4.5201544e+06,3.7126499e+03,1.8490157e+03,3.4699905e+03,1.6620170e+00,1.3568479e+00
2.751892e+01,16,4.2509731e+05,4.5200125e+06,3.9705344e+03,2.2055872e+03,2.7222805e+03,3.1006351e+00,1.4020510e+00
2.752415e+01,17,4.2558227e+05,4.5193434e+06,3.8332379e+03,1.5185625e+03,1.4605020e+03,4.2307474e+00,3.7738806e+00
2.754023e+01,17,4.2521555e+05,4.5198901e+06,3.5359473e+03,1.9506942e+03,2.6204277e+03,5.5000843e+00,1.5327446e+00
2.754575e+01,17,4.2513175e+05,4.5200080e+06,3.9248895e+03,2.0898804e+03,2.8903124e+03,3.4939666e+00,1.3743656e+00
2.754920e+01,17,4.2507888e+05,4.5198879e+06,4.1637165e+03,2.1628504e+03,2.9472099e+03,1.6477065e+00,1.5150397e+00
2.755955e+01,16,4.2544334e+05,4.5195942e+06,3.9395643e+03,1.2956083e+03,1.7969169e+03,2.6636269e+00,3.6822914e+00
2.760057e+01,17,4.2501295e+05,4.5197636e+06,3.6195201e+03,2.0712632e+03,2.5937899e+03,1.1832254e+00,1.4644532e+00
2.762684e+01,17,4.2527472e+05,4.5199022e+06,3.8800052e+03,1.9866447e+03,2.6780558e+03,4.9491914e+00,1.6256327e+00
2.763152e+01,15,4.2516662e+05,4.5199797e+06,4.0401728e+03,2.2460527e+03,2.9686396e+03,3.3730709e+00,1.3687263e+00
2.765817e+01,17,4.2527056e+05,4.5201909e+06,4.1338300e+03,1.7921275e+03,3.0140460e+03,6.5835188e-01,1.6978886e+00
2.766226e+01,16,4.2536443e+05,4.5199573e+06,3.5161752e+03,1.8213507e+03,2.4638694e+03,3.1452345e+00,1.5301326e+00
2.768469e+01,16,4.2514762e+05,4.5200434e+06,4.0878604e+03,2.0498599e+03,3.3512576e+03,2.4997744e+00,1.3986417e+00
2.768745e+01,17,4.2492791e+05,4.5198778e+06,3.9244567e+03,2.2611548e+03,2.7282166e+03,2.5538837e+00,1.3261374e+00
2.768776e+01,16,4.2547692e+05,4.5197420e+06,3.9470076e+03,1.6997542e+03,2.6033655e+03,4.1692710e+00,1.9804542e+00
2.770150e+01,15,4.2508810e+05,4.5200495e+06,3.8819644e+03,2.1205583e+03,3.0855666e+03,2.6430048e+00,1.4124209e+00
2.773652e+01,14,4.2561260e+05,4.5197258e+06,3.6575811e+03,1.0861589e+03,1.8651628e+03,2.5986947e+00,3.7441471e+00
2.775977e+01,15,4.2528152e+05,4.5199242e+06,4.1662793e+03,2.1610158e+03,2.8880429e+03,1.9378108e+00,1.4561376e+00
2.776078e+01,17,4.2525470e+05,4.5199583e+06,4.0601497e+03,1.7517054e+03,3.1835980e+03,2.5749146e+00,1.7055221e+00
2.781196e+01,15,4.2534950e+05,4.5198137e+06,4.0978234e+03,2.0798763e+03,2.7432459e+03,1.4585930e+00,1.5017112e+00
2.782977e+01,15,4.2560154e+05,4.5192328e+06,3.8280912e+03,1.1628294e+03,1.6138042e+03,2.4756577e+00,3.9402164e+00
2.785254e+01,17,4.2549282e+05,4.5198383e+06,3.7438082e+03,1.8616140e+03,2.8003936e+03,1.9814652e+00,1.5303680e+00
2.785500e+01,17,4.2538212e+05,4.5193258e+06,3.9230290e+03,1.3767317e+03,1.5880074e+03,2.0819193e+00,3.8748148e+00
2.787750e+01,17,4.2574263e+05,4.5193170e+06,4.0028413e+03,1.5357760e+03,1.4514545e+03,2.9232187e-01,3.6323443e+00
2.791976e+01,13,4.2447614e+05,4.5189637e+06,3.4784553e+03,3.5929233e+03,5.2852697e+02,5.1643611e-01,3.5550630e+00
2.793245e+01,14,4.2563737e+05,4.5194201e+06,4.1816886e+03,1.6681636e+03,1.4559000e+03,9.7900930e-01,3.4170368e+00
2.793382e+01,16,4.2529494e+05,4.5192857e+06,4.4195794e+03,1.4671193e+03,1.5047254e+03,1.2405768e-01,3.8177662e+00
2.794509e+01,17,4.2524196e+05,4.5200183e+06,4.3083934e+03,1.7821025e+03,3.1354119e+03,1.5746620e+00,1.7694310e+00
2.796509e+01,16,4.2534494e+05,4.5201919e+06,4.0782530e+03,1.9703042e+03,3.0778359e+03,4.2303982e-01,1.5399599e+00
2.797232e+01,16,4.2534621e+05,4.5198403e+06,3.9893248e+03,2.0372964e+03,2.8230733e+03,2.9918550e+00,1.5211817e+00
2.799791e+01,15,4.2525321e+05,4.5199665e+06,3.5779195e+03,1.8630112e+03,2.6027499e+03,5.3492723e+00,1.6127454e+00
2.801339e+01,17,4.2515997e+05,4.5200139e+06,4.2302815e+03,2.1225420e+03,2.9371172e+03,1.7879105e+00,1.4295635e+00
2.807478e+01,17,4.2437570e+05,4.5189327e+06,3.6929828e+03,3.4118482e+03,5.5201846e+02,9.9107847e-01,3.8438540e+00
2.808368e+01,14,4.2453028e+05,4.5191292e+06,3.7324996e+03,3.1459400e+03,6.5245272e+02,5.0741166e-01,3.8839845e+00
2.809120e+01,16,4.2530707e+05,4.5200358e+06,4.1774004e+03,1.8311257e+03,3.1364340e+03,2.1522182e+00,1.7317886e+00
2.809206e+01,17,4.2515450e+05,4.5200538e+06,4.1936609e+03,2.0754287e+03,3.3352348e+03,1.8104960e+00,1.4327589e+00
2.809863e+01,16,4.2516085e+05,4.5197901e+06,3.9625871e+03,1.7890310e+03,3.0530066e+03,5.7274371e-01,1.5377450e+00
2.810116e+01,13,4.2502096e+05,4.5199798e+06,4.2012474e+03,1.9760106e+03,2.8984412e+03,6.9166375e-01,1.5661870e+00
