xcen,ycen,depth,Pxx,Pyy,Pzz
4.2626855e+05,4.5182966e+06,5.0095333e+03,1.0421204e+06,1.5316007e+07,2.7814903e+07
4.2625022e+05,4.5182269e+06,5.0348057e+03,1.0274847e+06,1.4657612e+07,2.8160220e+07
4.2628253e+05,4.5182950e+06,5.0068388e+03,1.1735581e+06,1.5173178e+07,2.7746462e+07
4.2628805e+05,4.5182596e+06,5.0011773e+03,1.0179811e+06,1.4987048e+07,2.8032136e+07
4.2625818e+05,4.5183181e+06,5.0197103e+03,1.1076684e+06,1.5037245e+07,2.7739962e+07
4.2627233e+05,4.5183118e+06,5.0134706e+03,1.0622486e+06,1.4876357e+07,2.7684110e+07
4.2629625e+05,4.5183093e+06,5.0123674e+03,1.2046995e+06,1.4519503e+07,2.7570439e+07
4.2627411e+05,4.5182665e+06,5.0118631e+03,1.0003047e+06,1.4655425e+07,2.8037039e+07
4.2624509e+05,4.5182707e+06,5.0333184e+03,1.0108139e+06,1.4667395e+07,2.7959633e+07
4.2626476e+05,4.5182885e+06,5.0163978e+03,1.0380393e+06,1.5038801e+07,2.7847540e+07
4.2629926e+05,4.5182423e+06,5.0260638e+03,1.0724685e+06,1.3868130e+07,2.7797863e+07
4.2628394e+05,4.5182810e+06,5.0121753e+03,1.0330512e+06,1.4636455e+07,2.7787872e+07
4.2628631e+05,4.5182810e+06,5.0135813e+03,1.0320676e+06,1.4504026e+07,2.7745519e+07
4.2627472e+05,4.5182601e+06,5.0189922e+03,1.0896768e+06,1.4839510e+07,2.7828403e+07
4.2629093e+05,4.5182623e+06,5.0173426e+03,1.0519325e+06,1.4404934e+07,2.7799173e+07
4.2628233e+05,4.5182533e+06,5.0213690e+03,1.0545209e+06,1.4406527e+07,2.7873154e+07
4.2627032e+05,4.5182875e+06,5.0142225e+03,1.0934421e+06,1.5015767e+07,2.7804411e+07
4.2627265e+05,4.5182647e+06,5.0100134e+03,1.0116152e+06,1.4928339e+07,2.8032550e+07
4.2626350e+05,4.5182904e+06,5.0181182e+03,1.0518806e+06,1.4900463e+07,2.7887739e+07
4.2629193e+05,4.5183323e+06,5.0061163e+03,1.0595062e+06,1.4587052e+07,2.7431042e+07
4.2629014e+05,4.5182851e+06,5.0169614e+03,1.1318703e+06,1.4427928e+07,2.7698563e+07
4.2627766e+05,4.5182603e+06,5.0173848e+03,1.0125769e+06,1.4450755e+07,2.7963392e+07
4.2626684e+05,4.5182411e+06,5.0418165e+03,1.0422478e+06,1.3924206e+07,2.7883157e+07
4.2627422e+05,4.5182818e+06,5.0149198e+03,1.0206341e+06,1.4752841e+07,2.7842667e+07
4.2628936e+05,4.5182552e+06,5.0257218e+03,1.0780678e+06,1.4096120e+07,2.7805620e+07
4.2628331e+05,4.5182787e+06,5.0133917e+03,1.0371929e+06,1.4619238e+07,2.7792133e+07
4.2632477e+05,4.5182742e+06,5.0123856e+03,1.0292662e+06,1.3762926e+07,2.7394325e+07
4.2627760e+05,4.5182534e+06,5.0227226e+03,1.0622485e+06,1.4475441e+07,2.7894125e+07
4.2630304e+05,4.5182461e+06,5.0184427e+03,1.0633314e+06,1.4137888e+07,2.7796633e+07
4.2629358e+05,4.5182297e+06,5.0233898e+03,1.0556445e+06,1.4142292e+07,2.7857284e+07
4.2626811e+05,4.5182666e+06,5.0217338e+03,1.0341759e+06,1.4627657e+07,2.7912957e+07
4.2628214e+05,4.5182617e+06,5.0185817e+03,1.0436632e+06,1.4499345e+07,2.7843470e+07
4.2628151e+05,4.5182596e+06,5.0206093e+03,1.0628867e+06,1.4398258e+07,2.7883268e+07
4.2629495e+05,4.5182809e+06,5.0093738e+03,1.0371957e+06,1.4511000e+07,2.7672842e+07
4.2629976e+05,4.5182735e+06,5.0168467e+03,1.1307658e+06,1.4235490e+07,2.7655410e+07
4.2628246e+05,4.5182547e+06,5.0147284e+03,1.0061839e+06,1.4416807e+07,2.8005467e+07
4.2626443e+05,4.5182051e+06,5.0535882e+03,1.0054799e+06,1.3523577e+07,2.7899024e+07
4.2627109e+05,4.5182720e+06,5.0252539e+03,1.0138086e+06,1.4426654e+07,2.7781175e+07
4.2628885e+05,4.5182867e+06,5.0277147e+03,1.0897593e+06,1.4165252e+07,2.7586537e+07
4.2627841e+05,4.5182771e+06,5.0272278e+03,1.0550455e+06,1.4245966e+07,2.7813517e+07
4.2631603e+05,4.5182426e+06,5.0173615e+03,1.0216552e+06,1.3810649e+07,2.7598428e+07
4.2628254e+05,4.5182806e+06,5.0225919e+03,1.1418688e+06,1.4336427e+07,2.7825956e+07
4.2628843e+05,4.5182356e+06,5.0342273e+03,1.0669566e+06,1.3836925e+07,2.7843384e+07
4.2630885e+05,4.5182165e+06,5.0166108e+03,1.0049350e+06,1.4062005e+07,2.7766663e+07
4.2628581e+05,4.5182465e+06,5.0194385e+03,1.0178576e+06,1.4368273e+07,2.7855466e+07
4.2628414e+05,4.5182599e+06,5.0168927e+03,1.0327934e+06,1.4544440e+07,2.7828248e+07
4.2627404e+05,4.5182307e+06,5.0219846e+03,1.0206105e+06,1.4487250e+07,2.8042062e+07
4.2631157e+05,4.5182653e+06,5.0179721e+03,1.0492975e+06,1.3753795e+07,2.7589387e+07
4.2629892e+05,4.5182921e+06,5.0174108e+03,1.2347833e+06,1.4275919e+07,2.7606160e+07
4.2628356e+05,4.5182559e+06,5.0150527e+03,1.0200149e+06,1.4394701e+07,2.7994451e+07
4.2628423e+05,4.5182386e+06,5.0347540e+03,1.0423626e+06,1.3824991e+07,2.7750735e+07
4.2626585e+05,4.5182738e+06,5.0231693e+03,1.0104197e+06,1.4522227e+07,2.7876069e+07
4.2628741e+05,4.5182756e+06,5.0283032e+03,1.1540465e+06,1.4121314e+07,2.7706669e+07
4.2629028e+05,4.5182569e+06,5.0254535e+03,1.0431247e+06,1.4068592e+07,2.7751195e+07
4.2629092e+05,4.5182451e+06,5.0296338e+03,1.0490304e+06,1.3851564e+07,2.7722267e+07
4.2629396e+05,4.5182585e+06,5.0221360e+03,1.1332272e+06,1.4197395e+07,2.7769991e+07
4.2628867e+05,4.5182381e+06,5.0341247e+03,1.0554477e+06,1.3796163e+07,2.7840560e+07
4.2627643e+05,4.5182596e+06,5.0197109e+03,1.0526163e+06,1.4570669e+07,2.7882583e+07
4.2631216e+05,4.5182577e+06,5.0127531e+03,1.0082137e+06,1.4106619e+07,2.7577098e+07
4.2629816e+05,4.5182456e+06,5.0226731e+03,1.0192021e+06,1.3947137e+07,2.7714379e+07
4.2627863e+05,4.5182445e+06,5.0215833e+03,1.0760443e+06,1.4423066e+07,2.7962370e+07
4.2630451e+05,4.5182380e+06,5.0444247e+03,1.0511440e+06,1.2692386e+07,2.7545231e+07
4.2628987e+05,4.5182680e+06,5.0189588e+03,1.1359808e+06,1.4329421e+07,2.7760227e+07
4.2628173e+05,4.5182724e+06,5.0025422e+03,1.0566474e+06,1.4971042e+07,2.7954354e+07
4.2625500e+05,4.5182392e+06,5.0534943e+03,1.1155127e+06,1.3868429e+07,2.7807498e+07
4.2626469e+05,4.5182503e+06,5.0359868e+03,1.0292287e+06,1.4147516e+07,2.7861496e+07
4.2625658e+05,4.5182809e+06,5.0346471e+03,1.0740806e+06,1.4273662e+07,2.7842633e+07
4.2627557e+05,4.5182532e+06,5.0389163e+03,1.0387461e+06,1.3911339e+07,2.7764813e+07
4.2628555e+05,4.5182323e+06,5.0398860e+03,1.0795398e+06,1.3410205e+07,2.7778184e+07
4.2629696e+05,4.5182422e+06,5.0136837e+03,1.1494874e+06,1.4409282e+07,2.7870992e+07
4.2628366e+05,4.5182392e+06,5.0331037e+03,1.0462232e+06,1.3908934e+07,2.7857599e+07
4.2627258e+05,4.5182563e+06,5.0258151e+03,1.0487518e+06,1.4426124e+07,2.7889250e+07
4.2630743e+05,4.5182581e+06,5.0175892e+03,1.0219472e+06,1.4027431e+07,2.7573801e+07
4.2628127e+05,4.5182400e+06,5.0252936e+03,1.0284044e+06,1.4141498e+07,2.7903270e+07
4.2628535e+05,4.5182457e+06,5.0183757e+03,1.0663339e+06,1.4389551e+07,2.7902709e+07
4.2630259e+05,4.5182408e+06,5.0408231e+03,1.0500772e+06,1.2873700e+07,2.7578864e+07
4.2630800e+05,4.5182714e+06,5.0245029e+03,1.2309475e+06,1.3624680e+07,2.7574561e+07
4.2629886e+05,4.5182587e+06,5.0178767e+03,1.0470376e+06,1.3941559e+07,2.7716334e+07
4.2628545e+05,4.5182396e+06,5.0322361e+03,1.1226712e+06,1.3980786e+07,2.7781448e+07
4.2627179e+05,4.5182555e+06,5.0242529e+03,1.0791992e+06,1.4254783e+07,2.7853240e+07
4.2628217e+05,4.5182554e+06,5.0382997e+03,1.0560470e+06,1.3518839e+07,2.7710688e+07
4.2628297e+05,4.5182421e+06,5.0445965e+03,1.0092263e+06,1.3542059e+07,2.7718709e+07
4.2629454e+05,4.5182298e+06,5.0458141e+03,1.0757213e+06,1.2818718e+07,2.7648161e+07
4.2632512e+05,4.5182416e+06,5.0107973e+03,1.1742901e+06,1.3361841e+07,2.7661018e+07
4.2630009e+05,4.5182531e+06,5.0276824e+03,1.0335521e+06,1.3805418e+07,2.7609638e+07
4.2628229e+05,4.5182598e+06,5.0266431e+03,1.1025237e+06,1.4169114e+07,2.7797588e+07
4.2631550e+05,4.5182596e+06,5.0073004e+03,1.0695723e+06,1.4058861e+07,2.7583098e+07
4.2629663e+05,4.5182264e+06,5.0180168e+03,1.0278526e+06,1.4006192e+07,2.7924639e+07
4.2627851e+05,4.5182480e+06,5.0319220e+03,1.0625056e+06,1.4136255e+07,2.7810593e+07
4.2632105e+05,4.5182358e+06,5.0412577e+03,1.0896120e+06,1.2091906e+07,2.7430696e+07
4.2630941e+05,4.5182783e+06,5.0213723e+03,1.3090135e+06,1.3646046e+07,2.7589754e+07
4.2628622e+05,4.5182505e+06,5.0354998e+03,1.0428835e+06,1.3339016e+07,2.7747547e+07
4.2629320e+05,4.5182491e+06,5.0243585e+03,1.1507661e+06,1.4067831e+07,2.7733277e+07
4.2627137e+05,4.5182552e+06,5.0231602e+03,1.0840096e+06,1.4313846e+07,2.7862419e+07
4.2626874e+05,4.5182451e+06,5.0634293e+03,1.0973708e+06,1.2530497e+07,2.7706446e+07
4.2627879e+05,4.5182355e+06,5.0540019e+03,1.0336199e+06,1.3048492e+07,2.7726227e+07
4.2629010e+05,4.5182264e+06,5.0547026e+03,1.0687900e+06,1.2470474e+07,2.7655837e+07
4.2630224e+05,4.5182283e+06,5.0133656e+03,1.0402638e+06,1.3609992e+07,2.7825514e+07
4.2630473e+05,4.5182415e+06,5.0349684e+03,1.0596209e+06,1.3124117e+07,2.7568741e+07
4.2630052e+05,4.5182572e+06,5.0253185e+03,1.1755172e+06,1.3596867e+07,2.7657701e+07
4.2630905e+05,4.5182526e+06,5.0084696e+03,1.0546636e+06,1.4060340e+07,2.7693788e+07
4.2629426e+05,4.5182237e+06,5.0076078e+03,1.0443657e+06,1.4169277e+07,2.8022619e+07
4.2629712e+05,4.5182539e+06,5.0185878e+03,1.0099014e+06,1.4095455e+07,2.7695863e+07
4.2631709e+05,4.5182332e+06,5.0440654e+03,1.0877923e+06,1.2049306e+07,2.7459413e+07
4.2629177e+05,4.5182618e+06,5.0386393e+03,1.2036752e+06,1.3239432e+07,2.7656653e+07
4.2628731e+05,4.5182599e+06,5.0439738e+03,1.0283021e+06,1.2978502e+07,2.7619115e+07
4.2629189e+05,4.5182408e+06,5.0237321e+03,1.0939554e+06,1.3806839e+07,2.7799219e+07
4.2628436e+05,4.5182452e+06,5.0307762e+03,1.0976715e+06,1.3618977e+07,2.7760291e+07
4.2628711e+05,4.5182266e+06,5.0362433e+03,1.0590842e+06,1.2751094e+07,2.7805374e+07
4.2629010e+05,4.5182429e+06,5.0234792e+03,1.0107154e+06,1.3804755e+07,2.7777857e+07
4.2629722e+05,4.5182340e+06,5.0481008e+03,1.1599842e+06,1.2512553e+07,2.7624606e+07
4.2630193e+05,4.5182331e+06,5.0051737e+03,1.0155875e+06,1.3735649e+07,2.7871532e+07
4.2631545e+05,4.5182353e+06,5.0292076e+03,1.0480089e+06,1.2919645e+07,2.7542924e+07
4.2630716e+05,4.5182541e+06,5.0253693e+03,1.1519540e+06,1.3443860e+07,2.7576189e+07
4.2629271e+05,4.5182365e+06,5.0109291e+03,1.0274161e+06,1.3979352e+07,2.7894786e+07
4.2627852e+05,4.5182286e+06,5.0313762e+03,1.0486028e+06,1.3538668e+07,2.7960434e+07
4.2630673e+05,4.5182451e+06,5.0390066e+03,1.0113874e+06,1.2804533e+07,2.7513524e+07
4.2630448e+05,4.5182068e+06,5.0267783e+03,1.0776292e+06,1.2579851e+07,2.7878314e+07
4.2630234e+05,4.5182899e+06,4.9930296e+03,1.2415110e+06,1.4067799e+07,2.7698841e+07
4.2629711e+05,4.5182551e+06,5.0327707e+03,1.0904570e+06,1.3191191e+07,2.7616288e+07
