func,iter,xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
1.661270e+01,10,4.2619021e+05,4.5187683e+06,3.2231055e+03,1.3369969e+03,8.2540239e-03,9.0609310e+01,2.1392903e+01
1.663755e+01,16,4.2627563e+05,4.5185680e+06,3.3941110e+03,1.7580144e+03,3.8678764e-03,6.8022098e+01,2.5941688e+01
1.663951e+01,19,4.2642261e+05,4.5186313e+06,3.2550822e+03,1.6158404e+03,4.3543289e-03,8.8644262e+01,2.6728965e+01
1.666441e+01,18,4.2633256e+05,4.5186209e+06,3.4252785e+03,1.7141770e+03,4.2423698e-03,8.3607178e+01,2.6656318e+01
1.671221e+01,10,4.2629665e+05,4.5187879e+06,3.2858465e+03,1.4732138e+03,5.8937130e-03,6.3543321e+01,2.0830821e+01
1.672619e+01,19,4.2605913e+05,4.5186348e+06,3.2534331e+03,1.5605821e+03,4.9675829e-03,6.7367637e+01,2.5380324e+01
1.672623e+01,19,4.2639479e+05,4.5186263e+06,3.3618935e+03,1.6351172e+03,4.5247483e-03,6.5909280e+01,2.5790255e+01
1.674451e+01,19,4.2623216e+05,4.5186158e+06,2.9279054e+03,1.6327946e+03,3.9890199e-03,5.9297674e+01,2.6480237e+01
1.674474e+01,17,4.2624187e+05,4.5185736e+06,3.1329951e+03,1.7357779e+03,3.6955054e-03,7.8240302e+01,2.8256980e+01
1.676128e+01,18,4.2617857e+05,4.5189130e+06,3.0910516e+03,1.7613852e+03,3.4064688e-03,7.4363162e+01,2.8351836e+01
1.686812e+01,19,4.2611122e+05,4.5186736e+06,3.0280921e+03,1.5509409e+03,4.2176719e-03,8.9450908e+01,2.5190408e+01
1.687054e+01,19,4.2608122e+05,4.5187129e+06,2.8461505e+03,1.4716365e+03,4.5902338e-03,6.2451312e+01,2.3447298e+01
1.687312e+01,15,4.2637870e+05,4.5185613e+06,3.2404183e+03,1.5669999e+03,4.6900650e-03,6.7746621e+01,2.1913680e+01
1.687707e+01,10,4.2629609e+05,4.5188177e+06,3.0432854e+03,2.4072381e+03,1.3555646e-03,8.6049725e+01,2.0059351e+01
1.692318e+01,15,4.2622795e+05,4.5187187e+06,3.4732069e+03,1.6961888e+03,4.3399865e-03,8.8220900e+01,2.7987000e+01
1.698359e+01,19,4.2611541e+05,4.5187350e+06,3.1664364e+03,1.5891723e+03,4.8402997e-03,7.6246787e+01,2.4402632e+01
1.700178e+01,18,4.2624851e+05,4.5185822e+06,3.3378367e+03,1.5588167e+03,4.8887300e-03,7.8359179e+01,2.1449586e+01
1.702075e+01,19,4.2633276e+05,4.5185198e+06,2.9878654e+03,1.6128412e+03,3.8594713e-03,6.0927051e+01,2.5992441e+01
1.702226e+01,19,4.2617024e+05,4.5185710e+06,3.3400368e+03,1.5774273e+03,4.8220358e-03,6.3624473e+01,2.1376729e+01
1.703702e+01,19,4.2614042e+05,4.5186957e+06,3.3095880e+03,1.7123706e+03,4.1176756e-03,6.9031379e+01,2.7116567e+01
1.706947e+01,16,4.2615543e+05,4.5187690e+06,3.4056143e+03,1.6491745e+03,4.4912275e-03,7.6546170e+01,2.5543053e+01
1.707740e+01,17,4.2628592e+05,4.5186240e+06,3.3678161e+03,1.6084539e+03,4.5077305e-03,6.9455306e+01,2.5988384e+01
1.708535e+01,19,4.2637329e+05,4.5185870e+06,3.2397046e+03,1.6723724e+03,4.3324912e-03,7.7894726e+01,2.4705637e+01
1.715201e+01,18,4.2623904e+05,4.5186244e+06,3.3880624e+03,1.7393078e+03,4.1094440e-03,6.9872027e+01,2.6299566e+01
1.716561e+01,18,4.2631498e+05,4.5187943e+06,3.0269896e+03,1.5497173e+03,4.1967166e-03,7.7499088e+01,1.8589962e+01
1.719724e+01,15,4.2616522e+05,4.5187554e+06,3.0942335e+03,1.4714666e+03,4.9325966e-03,7.4830543e+01,2.8313649e+01
1.720205e+01,19,4.2641775e+05,4.5186283e+06,3.4179269e+03,1.6599961e+03,4.5131485e-03,7.7446118e+01,2.5356582e+01
1.721488e+01,19,4.2636647e+05,4.5185785e+06,3.4217826e+03,1.6831480e+03,4.1962216e-03,7.6662525e+01,2.6560104e+01
1.723685e+01,18,4.2608740e+05,4.5186789e+06,3.1724878e+03,1.7904182e+03,3.2105065e-03,9.5590228e+01,2.8199200e+01
1.724920e+01,16,4.2632594e+05,4.5185597e+06,3.2897563e+03,1.6786818e+03,4.0008248e-03,9.4038066e+01,2.8055784e+01
1.730687e+01,19,4.2617251e+05,4.5185074e+06,3.2092200e+03,1.6640802e+03,4.1759866e-03,8.3743697e+01,2.6692064e+01
1.731949e+01,15,4.2622673e+05,4.5185973e+06,2.9101016e+03,1.5033398e+03,4.4103492e-03,9.6364484e+01,2.3913247e+01
