xcen,ycen,depth,radius,dP_mu
4.2617541e+05,4.5185305e+06,3.5008357e+03,1.7641796e+03,5.8012945e-04
4.2651551e+05,4.5190627e+06,2.8902205e+03,7.0048073e+02,6.1757520e-03
4.2616329e+05,4.5185296e+06,3.4774940e+03,1.7567593e+03,5.8223290e-04
4.2616966e+05,4.5185174e+06,3.5199835e+03,1.7119247e+03,6.3714234e-04
4.2614836e+05,4.5185113e+06,3.5266079e+03,1.7002615e+03,6.5170029e-04
4.2617249e+05,4.5185249e+06,3.4889875e+03,1.7012917e+03,6.4372489e-04
4.2617203e+05,4.5185264e+06,3.4990874e+03,1.7223197e+03,6.1565683e-04
4.2617816e+05,4.5185081e+06,3.5249275e+03,1.7102041e+03,6.4144167e-04
4.2644040e+05,4.5190663e+06,2.9597973e+03,7.3248959e+02,6.0367265e-03
4.2648028e+05,4.5190931e+06,2.9122349e+03,6.9780445e+02,6.1883162e-03
4.2618499e+05,4.5185389e+06,3.5141224e+03,1.7836936e+03,5.6207507e-04
4.2650834e+05,4.5190689e+06,2.8947051e+03,6.9993554e+02,6.1783114e-03
4.2616375e+05,4.5185277e+06,3.4798179e+03,1.7562711e+03,5.8425808e-04
4.2617786e+05,4.5185114e+06,3.5475146e+03,1.7073668e+03,6.4685344e-04
4.2616166e+05,4.5185203e+06,3.5064202e+03,1.7150111e+03,6.3260919e-04
4.2617027e+05,4.5185223e+06,3.4923977e+03,1.6948363e+03,6.5079818e-04
4.2617672e+05,4.5185187e+06,3.5221088e+03,1.7050263e+03,6.4185817e-04
4.2617647e+05,4.5185137e+06,3.5170428e+03,1.7233235e+03,6.2561062e-04
4.2644040e+05,4.5190663e+06,2.9597973e+03,7.3248959e+02,6.0367265e-03
4.2646078e+05,4.5190800e+06,2.9354904e+03,7.1476368e+02,6.1141967e-03
4.2618111e+05,4.5185334e+06,3.5125245e+03,1.7586477e+03,5.8750281e-04
4.2649070e+05,4.5190730e+06,2.9098298e+03,7.0543436e+02,6.1545354e-03
4.2616966e+05,4.5185362e+06,3.4826842e+03,1.7741420e+03,5.6393030e-04
4.2618018e+05,4.5185061e+06,3.5594981e+03,1.6816660e+03,6.7587373e-04
4.2615943e+05,4.5185129e+06,3.5331348e+03,1.6742292e+03,6.8048475e-04
4.2617034e+05,4.5185224e+06,3.4924893e+03,1.6952112e+03,6.5042388e-04
4.2617208e+05,4.5185185e+06,3.5329754e+03,1.7094083e+03,6.3781564e-04
4.2616967e+05,4.5185047e+06,3.5505295e+03,1.7097228e+03,6.4692527e-04
4.2644557e+05,4.5190670e+06,2.9546615e+03,7.2970877e+02,6.0488353e-03
4.2643423e+05,4.5190863e+06,2.9551500e+03,7.1357102e+02,6.1399596e-03
4.2618191e+05,4.5185251e+06,3.5227406e+03,1.7462296e+03,6.0291715e-04
4.2649070e+05,4.5190730e+06,2.9098298e+03,7.0543436e+02,6.1545354e-03
4.2616627e+05,4.5185419e+06,3.4713577e+03,1.7872286e+03,5.4707504e-04
4.2618661e+05,4.5185092e+06,3.5755678e+03,1.7078265e+03,6.5163679e-04
4.2615714e+05,4.5185095e+06,3.5554011e+03,1.6756105e+03,6.8217234e-04
4.2616849e+05,4.5185206e+06,3.4967951e+03,1.6974711e+03,6.4852357e-04
