xcen,ycen,depth,dVol
4.2631948e+05,4.5188335e+06,2.5801624e+03,4.9874399e+06
4.2632408e+05,4.5188514e+06,2.6139072e+03,5.0445514e+06
4.2633532e+05,4.5188182e+06,2.6370492e+03,5.1183165e+06
4.2632818e+05,4.5188401e+06,2.6124379e+03,5.0697819e+06
4.2631016e+05,4.5188157e+06,2.6324033e+03,5.0801698e+06
4.2631899e+05,4.5188186e+06,2.6252966e+03,5.1028194e+06
4.2631693e+05,4.5188399e+06,2.6094118e+03,5.0587317e+06
4.2631625e+05,4.5188215e+06,2.6277922e+03,5.1181553e+06
4.2631863e+05,4.5188483e+06,2.6345510e+03,5.0930057e+06
4.2633360e+05,4.5188309e+06,2.6352728e+03,5.1055697e+06
4.2632427e+05,4.5188374e+06,2.5967751e+03,5.0239345e+06
4.2632736e+05,4.5188450e+06,2.6140577e+03,5.0318984e+06
4.2633890e+05,4.5188251e+06,2.6365940e+03,5.0989096e+06
4.2634063e+05,4.5188376e+06,2.6108090e+03,5.0636875e+06
4.2631263e+05,4.5188279e+06,2.6351542e+03,5.0710120e+06
4.2630439e+05,4.5188331e+06,2.6317866e+03,5.0961926e+06
4.2631231e+05,4.5188268e+06,2.6109724e+03,5.0459756e+06
4.2631680e+05,4.5188183e+06,2.6253885e+03,5.1208420e+06
4.2630717e+05,4.5188467e+06,2.6313594e+03,5.0969795e+06
4.2631979e+05,4.5188217e+06,2.6366617e+03,5.1034136e+06
4.2631404e+05,4.5188294e+06,2.6252230e+03,5.1042463e+06
4.2632392e+05,4.5188327e+06,2.5957657e+03,5.0016966e+06
4.2632629e+05,4.5188300e+06,2.6306635e+03,5.0961240e+06
4.2632920e+05,4.5188284e+06,2.6190676e+03,5.1018831e+06
4.2631059e+05,4.5188225e+06,2.6388745e+03,5.0910917e+06
4.2629982e+05,4.5188438e+06,2.6316598e+03,5.0679091e+06
4.2631670e+05,4.5188139e+06,2.6091434e+03,5.0469621e+06
4.2631265e+05,4.5188102e+06,2.6214682e+03,5.1042067e+06
4.2631995e+05,4.5188369e+06,2.6292254e+03,5.0929058e+06
4.2632173e+05,4.5188178e+06,2.6193254e+03,5.0789942e+06
4.2631769e+05,4.5188201e+06,2.6312047e+03,5.1129205e+06
